amount,name of the buyer
9,"Beijing Baiyidakang Technology Co., Ltd."
5,"Hitachi Information Systems (Shanghai) Co., Ltd. Beijing Branch"
4,"Shibiyou Business Consulting (Shanghai) Co., Ltd."
4,"NEC Excellence Software Technology (Beijing) Co., Ltd. Xi'an Branch"
47,"NEC Information Systems (China) Co., Ltd."
47,"NEC Information Systems (China) Co., Ltd."
47,"NEC Information Systems (China) Co., Ltd."
47,"NEC Information Systems (China) Co., Ltd."
5,"Hitachi Information Systems (Shanghai) Co., Ltd. Beijing Branch"
5,"Hitachi Information Systems (Shanghai) Co., Ltd. Beijing Branch"
3,"Beijing Tuxin Jingwei Navigation System Co., Ltd."
1,"Beijing Sun Village Technology Co., Ltd."
47,"NEC Information Systems (China) Co., Ltd."
47,"NEC Information Systems (China) Co., Ltd."
6,"Yuxin Data Technology Co., Ltd."
2,"Beijing Siyuan Software Co., Ltd."
6,"Yuxin Data Technology Co., Ltd."
47,"NEC Information Systems (China) Co., Ltd."
47,"NEC Information Systems (China) Co., Ltd."
47,"NEC Information Systems (China) Co., Ltd."
47,"NEC Information Systems (China) Co., Ltd."
3,"Beijing Anke Internet Software Development Co., Ltd."
47,"NEC Information Systems (China) Co., Ltd."
47,"NEC Information Systems (China) Co., Ltd."
47,"NEC Information Systems (China) Co., Ltd."
47,"NEC Information Systems (China) Co., Ltd."
4,"Agilent Technologies (China) Co., Ltd."
5,"Hitachi Information Systems (Shanghai) Co., Ltd. Beijing Branch"
4,"Agilent Technologies (China) Co., Ltd."
47,"NEC Information Systems (China) Co., Ltd."
47,"NEC Information Systems (China) Co., Ltd."
47,"NEC Information Systems (China) Co., Ltd."
47,"NEC Information Systems (China) Co., Ltd."
1,"Beijing Jiyoute Software Co., Ltd."
3,"Beijing Shengfengming Information Technology Co., Ltd. Cooperation Agreement"
47,"NEC Information Systems (China) Co., Ltd."
47,"NEC Information Systems (China) Co., Ltd."
47,"NEC Information Systems (China) Co., Ltd."
2,"ACCESS (Beijing) Technology Co., Ltd."
47,"NEC Information Systems (China) Co., Ltd."
47,"NEC Information Systems (China) Co., Ltd."
47,"NEC Information Systems (China) Co., Ltd."
6,"Yuxin Data Technology Co., Ltd."
47,"NEC Information Systems (China) Co., Ltd."
4,"NEC Excellence Software Technology (Beijing) Co., Ltd. Xi'an Branch"
47,"NEC Information Systems (China) Co., Ltd."
4,"NEC Excellence Software Technology (Beijing) Co., Ltd. Xi'an Branch"
47,"NEC Information Systems (China) Co., Ltd."
3,"Societe Generale (China) Co., Ltd."
3,"Dah Sing Bank (China) Co., Ltd."
1,"Soumengsi (Beijing) Network Technology Consulting Co., Ltd."
2,"Century New Information Technology (Beijing) Co., Ltd."
2,"Wuxi Dewang Kerong Technology System Co., Ltd."
1,"Beijing Kujie Information Technology Co., Ltd."
2,"Wuxi Dewang Kerong Technology System Co., Ltd."
2,"ACCESS (Beijing) Media Technology Co., Ltd."
1,"Beijing Northern Xieli Information Technology Co., Ltd."
2,"BigHandz Co.,Ltd"
3,"Societe Generale (China) Co., Ltd."
1,"Beijing North Xinyu Information Technology Co., Ltd."
2,"Shanghai Tianzong Network Co., Ltd."
13,Shenzhen Development Bank
3,"Societe Generale (China) Co., Ltd."
3,"Beijing Tuxin Jingwei Navigation System Co., Ltd."
4,Hinge Global Resources Inc.
1,"Beijing Lingtu Star Technology Co., Ltd."
3,"Beijing Shengfengming Information Technology Co., Ltd."
3,"Dah Sing Bank (China) Co., Ltd."
3,"Apache (Beijing) Fiber Laser Technology Co., Ltd."
3,Wing Hang Bank (China) Limited
2,Japan BigHandz Co.Ltd
3,"Beijing Tuxin Jingwei Navigation System Co., Ltd."
3,Wing Hang Bank (China) Limited
2,"China HP Co., Ltd."
2,"Rocket Software,Inc"
2,"Rocket Software, Inc"
1,FERMA Pte Ltd
1,"Shaanxi Lianzhong Digital Entertainment Technology Co., Ltd."
19,Analogix International
5,"Dongguan Dongju Electronic Telecommunications Products Co., Ltd."
5,"Dongguan Dongju Electronic Telecommunications Products Co., Ltd."
1,"Beijing Fuhua Yitong Technology Development Co., Ltd."
9,International Business Machines Corporation
9,International Business Machines Corporation
1,Wang Yue
3,"Beijing Gaodehaomen Network Technology Co., Ltd."
3,"Beijing Gaodehaomen Network Technology Co., Ltd."
3,"Beijing Gaodehaomen Network Technology Co., Ltd."
1,"Beijing Beidazhi Microsystem Technology Co., Ltd."
,Nokia Corporation
,Microsoft Corporation
,Lucent Technologies
,"Guangzhou Procter & Gamble Co., Ltd."
,Langxun Technology Company
,Nokia Corporation
,(PROCTER & GAMBLE COMPANY) Procter & Gamble USA
,Lucent Technologies
,Lucent Technologies
,Lucent Technologies
,"LG Electronics Co., Ltd."
,"South Korea Samsung Electronics Co., Ltd."
,"LG Electronics Co., Ltd."
,Ericsson AB
,Ericsson AB
,Ericsson AB
,"LG Electronics Co., Ltd."
,Ericsson AB
,Motorola Corporation of America
,"Siemens International Trading (Shanghai) Co., Ltd."
,"Samsung Electronics Co., Ltd."
,Nokia Networks
,Ericsson AB
,STMicroelectronics NV
,Ericsson AB
,"Wuhan NEC Mobile Communications Co., Ltd."
,Ericsson AB(EAB)
,STMicroelectronics Asia Pacific (Private) Limited
,Ericsson AB
,SONY EMCS Minokamo Technology Center
,Schlumberger Ltd.
,o2Micro International LTD
,Ericsson AB
,Ericsson AB(EAB)
,"Samsung Electronics Co., Ltd."
,"Wuhan NEC Mobile Communications Co., Ltd."
,"Nippon Electric Co., Ltd."
,Ericsson AB
,Ericsson AB
,Ericsson AB
,AOMicrosystems International Corporation
,"LG Electronics Co., Ltd."
,"LG Electronics Co., Ltd."
,LG Electronics Corporation
,Shenzhen Development Bank
,Toshiba Corporation
,"Samsung Electronics Co., Ltd. (SAIT)"
,AOMicrosystems International Corporation
,"LG Electronics Co., Ltd."
,"Siemens International Trading (Shanghai) Co., Ltd."
,"Hangzhou Starcom Communications Co., Ltd."
,"LG Electronics Co., Ltd."
,"Samsung Electronics Co., Ltd. (SAIT)"
,"Samsung Electronics Co., Ltd. (SAIT)"
,Ericsson AB
,Ericsson AB
,"Guangdong Shenzhen Liangshun Automobile Information Technology Co., Ltd."
,Erisson AB
,Gemplus SA
,Gemplus SA
,Gemplus Technologies Asia Pte.Ltd
,Gemplus Technologies Asia Pte.Ltd
,Gemplus SA
,"Beijing Middle Eastern Inspection Information Technology Co., Ltd."
,Gemplus SA
,Ericsson AB
,Gemplus Technologies Asia Pte.Ltd
,"Beijing Zizhu Pharmaceutical Co., Ltd."
,"LG Electronics Co., Ltd."
,Ericsson AB
,"Toshiba Medical Systems Co., Ltd."
,"LG Electronics Co., Ltd."
,China Everbright Bank
,China Everbright Bank
,"Beijing CRRC Information Technology Co., Ltd."
,"Huawei Technologies Co., Ltd"
,"Beijing ABB High Voltage Switchgear Co., Ltd."
,"LG Electronics Co., Ltd."
,"Hangzhou Starcom Communications Co., Ltd."
,AOMicrosystems International Corporation
,Gemplus SA
,"Beijing CRRC Information Technology Co., Ltd."
,"Shenzhen Konka Communication Technology Co., Ltd."
,"Samsung Electronics Co., Ltd. (South Korea)"
,AOMicrosystems International Corporation
,Gemplus Technologies Asia Pte.Ltd
,"Hong Kong VIA Electronics Co., Ltd."
,"Wuhan Renfu Pharmaceutical Co., Ltd."
,"Shenzhen Konka Communication Technology Co., Ltd."
,Japan Sony Corporation
,"Shenzhen Sangfei Consumer Communications Co., Ltd."
,"Beijing Zizhu Pharmaceutical Co., Ltd."
,"Beijing Zizhu Pharmaceutical Co., Ltd."
,Beijing Wanhui Pharmaceutical Group
,"China Electronics Communications Technology Co., Ltd."
,"Qingdao Hisense Communications Co., Ltd."
,"Gansu Mobile Communications Co., Ltd."
,Shenzhen Development Bank
,Nanhai Rural Credit Cooperative
,"Beijing Universal Star Software Co., Ltd."
,"Century Information Technology Co., Ltd."
,"Yongxin Pharmaceutical Industry (Kunshan) Co., Ltd."
,"Beijing Peking University Weixin Biotechnology Co., Ltd."
,Honeywell Automation and Control Laboratory
,Guangdong Development Bank
,"Shenzhen Konka Communication Technology Co., Ltd."
,"Panasonic Electric Industrial Co., Ltd. Overseas Promotion Center"
,"Shenzhen Konka Communication Technology Co., Ltd."
,"Allion Computer Co., Ltd."
,"Beijing Donghai Huzhong Technology Co., Ltd."
,"Beijing Shuanglu Pharmaceutical Co., Ltd."
,"Jiangxi Jiangzhong Pharmaceutical Co., Ltd."
,"Huizhou Qiaoxing Telecommunications Industry Co., Ltd."
,"China Electronics Communications Technology Co., Ltd."
,"Nokia (China) Investment Co., Ltd."
,"Jilin Tonghua Zhenguo Pharmaceutical Co., Ltd."
,"Beijing Shuanglu Pharmaceutical Co., Ltd."
,"Guangzhou Southern Hi-Tech Co., Ltd."
,"Japan Century Information Technology Co., Ltd."
,"Beijing Guoke Hualong Information Technology Co., Ltd."
,"BD&C Bit Lianchuang (Hong Kong) Co., Ltd."
,"Beijing SECCO Pharmaceutical Co., Ltd."
,ERICSSON AB (EAB)
,"Shijiazhuang Pharmaceutical Group Co., Ltd."
,"Nokia (China) Investment Co., Ltd."
,"Beijing Shuanglu Pharmaceutical Co., Ltd."
,"Nokia (China) Investment Co., Ltd."
,"Nokia (China) Investment Co., Ltd."
,"Nokia (China) Investment Co., Ltd."
,"Leshan Sanjiu Long March Co., Ltd."
,"Beijing SECCO Pharmaceutical Co., Ltd."
,"China Electronics Communications Technology Co., Ltd."
,"Bank of Communications Co., Ltd."
,"Motorola (China) Electronics Co., Ltd."
,"Nokia (China) Investment Co., Ltd."
,"Beijing SECCO Pharmaceutical Co., Ltd."
,"Hainan Pioneer Pharmaceutical Co., Ltd."
,"Huizhou Qiaoxing Telecommunications Industry Co., Ltd."
,"Guangzhou Southern Hi-Tech Co., Ltd."
,"Pioneer Pharmaceutical Co., Ltd."
,"Hong Kong VIA Electronics Co., Ltd."
,Ericsson AB
,"Century Information Technology Co., Ltd."
,"Nokia (China) Investment Co., Ltd."
,"Tianjin Zhongtianyuan Pharmaceutical Co., Ltd."
,"Hubei Sibao Pharmaceutical Co., Ltd."
,"Guangzhou Southern Hi-Tech Co., Ltd."
,"Toshiba Mobile Communications Co., Ltd."
,"Jiangsu Huanghai Pharmaceutical Co., Ltd."
,"Sichuan Baili Pharmaceutical Co., Ltd."
,"Sichuan Xinston Pharmaceutical Co., Ltd."
,"Bank of Communications Co., Ltd."
,"China Mobile Communications Group Shanghai Co., Ltd."
,"Nokia (China) Investment Co., Ltd."
,"Bank of China Limited, Macau Branch"
,"Shijiazhuang Pharmaceutical Group Co., Ltd."
,"Shijiazhuang Pharmaceutical Group Co., Ltd."
,"Jiangsu Yangzijiang Pharmaceutical Group Co., Ltd."
,"Daewoo Information Co., Ltd."
,"China Mobile Communications Group Shanghai Co., Ltd."
,"Hubei Sibao Pharmaceutical Co., Ltd."
,Shenzhen Development Bank
,"Chengdu Beite Pharmaceutical Co., Ltd."
,"Beijing Zizhu Pharmaceutical Co., Ltd."
,"Sichuan Xinston Pharmaceutical Co., Ltd."
,"Shandong Continental Pharmaceutical Co., Ltd."
,"Dalian Daxian Communications Co., Ltd."
,"Pioneer Pharmaceutical Co., Ltd."
,"Yunnan Wanyu Pharmaceutical Co., Ltd."
,"BD&C Bit Lianchuang (Hong Kong) Co., Ltd."
,"Liaoning Mobile Communications Co., Ltd."
,Guangdong Development Bank
,"China Mobile Communications Group Shanghai Co., Ltd."
,"BD&C Bit Lianchuang (Hong Kong) Co., Ltd."
,"Shijiazhuang Pharmaceutical Group Co., Ltd."
,"Xuzhou Enhua Pharmaceutical Group Co., Ltd."
,"Qingdao Guofeng Pharmaceutical Co., Ltd."
,"Qingdao Guofeng Pharmaceutical Co., Ltd."
,China Mobile Communications Group Corporation
,Inner Mongolia Mobile Communications Company
,"Beijing Universal Star Software Co., Ltd."
,"China HP Co., Ltd."
,"Panasonic Electric Works INFORMATION SYSTEM Co., Ltd."
,Guangdong Development Bank
,"Guizhou Pharmaceutical (Group) Co., Ltd."
,"Guizhou Gute Bioengineering Co., Ltd."
,"Sichuan Baili Pharmaceutical Co., Ltd."
,"Xuzhou Enhua Pharmaceutical Group Co., Ltd."
,"Hainan Kangli Pharmaceutical Co., Ltd."
,"Tianjin Zhongxin Pharmaceutical Group Co., Ltd. Sixth Traditional Chinese Medicine Factory"
,Ministry of Foreign Affairs Information Work Leading Group
,"Guizhou Xinbang Pharmaceutical Co., Ltd."
,Shanghai Pudong Development Bank
,"Beijing Shuanglu Pharmaceutical Co., Ltd."
,"Beijing Shuanglu Pharmaceutical Co., Ltd."
,"Dezhou Haishan Pharmaceutical Co., Ltd."
,"Wuhan Handu Technology Co., Ltd."
,"Bank of Communications Co., Ltd."
,Bank of China Beijing Branch
,Ericsson AB
,"Bitlink (Hong Kong) Co., Ltd."
,"Nokia (China) Investment Co., Ltd."
,Honeywell Process Industries
,"Jilin Xidian Pharmaceutical Technology Development Co., Ltd."
,"Hubei Guangji Pharmaceutical Co., Ltd."
,"Beijing Shuanglu Pharmaceutical Co., Ltd."
,"Shanghai Pharmaceutical Co., Ltd."
,"Beijing Qibaitong Technology Co., Ltd."
,"Dalian Tianyu Pharmaceutical Co., Ltd."
,"Sichuan Xinston Pharmaceutical Co., Ltd."
,"Guangdong Nuojin Medical Appointment Co., Ltd."
,"Kunming Bangyu Pharmaceutical Technology Co., Ltd."
,China International Airlines
,China International Airlines
,"Liyang Co., Ltd. (Japan)"
,Changshu Rural Commercial Bank
,"Beijing Guoke Hualong Information Technology Co., Ltd."
,"Beijing Panasonic Color Picture Tube Co., Ltd."
,"Shandong Lufu Pharmaceutical Group Co., Ltd."
,"Game Paradise Electronic Technology (Beijing) Co., Ltd."
,"Shandong Continental Pharmaceutical Co., Ltd."
,"Japan Century Information Technology Co., Ltd."
,"Japan Century Information Technology Co., Ltd."
,"China Mobile Communications Group Shanghai Co., Ltd."
,"Beijing Jinyuan Computer Technology Co., Ltd."
,"Beijing SECCO Pharmaceutical Co., Ltd."
,"Shanxi Jinhua Pharmaceutical Co., Ltd."
,"Century Information Technology Co., Ltd."
,"Daewoo Information Co., Ltd."
,VENTURZ PHARM INC.
,"Shanghai Pudong Development Bank Co., Ltd."
,"Bengbu Fengyuan Pharmaceutical Technology Co., Ltd."
,"Beijing Softfa Technology Co., Ltd."
,"Guizhou Xinbang Pharmaceutical Co., Ltd."
,"Jiangsu Zhengda Fenghai Pharmaceutical Co., Ltd."
,"Jiangsu Zhengda Fenghai Pharmaceutical Co., Ltd."
,"Bitlink (Hong Kong) Co., Ltd."
,"Santak Electronics (Shenzhen) Co., Ltd."
,Shenzhen Federation of Rural Credit Cooperatives
,"Japan Century Information Technology Co., Ltd."
,"Game Paradise Electronic Technology (Beijing) Co., Ltd."
,"Qingdao Guofeng Pharmaceutical Co., Ltd."
,"Chongqing Sano Biopharmaceutical Co., Ltd."
,"Beijing Shuanghe Pharmaceutical Co., Ltd."
,"Shanghai Yutong Pharmaceutical Co., Ltd."
,"Tianjin Zhongxin Pharmaceutical Group Co., Ltd. Sixth Traditional Chinese Medicine Factory"
,"Shandong Grandbaike Biopharmaceutical Co., Ltd."
,"China HP Co., Ltd."
,Honeywell International Ltd.
,Ericsson AB
,"Beijing Universal Star Software Co., Ltd."
,"Japan Century Information Technology Co., Ltd."
,Ericsson AB
,Bank of China Beijing Branch
,"Hongbai Technology Co., Ltd."
,Logistics information management system for grain warehouse in western suburbs of Beijing
,"Hainan Kangli Pharmaceutical Technology Co., Ltd."
,"Shandong Grandbaike Biopharmaceutical Co., Ltd."
,Guangdong Development Bank
,Bank of China Beijing Branch
,Ericsson AB
,VETURE PHARM INC.
,"Guizhou Zhongsheng Pharmaceutical Co., Ltd."
,"Shaanxi Hanjiang Pharmaceutical Co., Ltd."
,"Jiangsu Snow Leopard Pharmaceutical Co., Ltd."
,"Japan Century Information Technology Co., Ltd."
,"Baishan Guoxin Pharmaceutical Co., Ltd."
,"Shanghai Xudong Haipu Pharmaceutical Co., Ltd."
,"Nokia (China) Investment Co., Ltd."
,"Beijing Lenovo 365 Technology Co., Ltd."
,China Aviation Industry Corporation Shanghai Aircraft Design Institute
,"China Mobile Communications Group Shanghai Co., Ltd."
,"China Network Communications Co., Ltd."
,Zhejiang Yada Pharmaceutical Factory
,"Japan Century Information Technology Co., Ltd."
,"Honeywell (USA) Co., Ltd."
,"Panasonic Electric Industrial Co., Ltd. Overseas R&D Promotion Center"
,"Guangdong Development Bank Co., Ltd."
,Bank of China Guangdong Branch
,Bank of China Shanghai Branch
,"Shaanxi Hanjiang Pharmaceutical Co., Ltd."
,"Shaanxi Hanjiang Pharmaceutical Co., Ltd."
,"Jilin Xidian Pharmaceutical Technology Development Co., Ltd."
,Changsha Commercial Bank
,"Bank of China Co., Ltd. Liaoning Provincial Branch"
,Honeywell (Singapore) Ltd.
,Ericsson AB
,"Bank of Communications Co., Ltd."
,"Nokia (China) Investment Co., Ltd."
,Hua Xia Bank Head Office
,Song Xinbo
,"Jiangsu Zhongbang Pharmaceutical Co., Ltd."
,"Japan Century Information Technology Co., Ltd."
,Honeywell Automation and Control Laboratory
,"Beijing Lianxin Electronic Technology Development Co., Ltd."
,China International Travel Service Head Office
,"Hongbai Technology Co., Ltd."
,"Hongbai Technology Co., Ltd."
,"Hainan Tongzhou Pharmaceutical Co., Ltd."
,"Heilongjiang Runtong Biopharmaceutical Co., Ltd."
,"Jiangsu Yangzijiang Pharmaceutical Group Co., Ltd."
,Harbin Pharmaceutical Group Pharmaceutical Factory
,Honeywell (Prague) Technology R&D Laboratory
,Bank of China Hebei Branch
,"Bank of China Co., Ltd. Hebei Branch"
,Bank of China Liaoning Branch
,Ericsson AB
,China International Travel Service Head Office
,Xiamen International Bank
,"Hongbai Technology Co., Ltd."
,"Jiangsu Qingjiang Pharmaceutical Co., Ltd."
,"Nokia (China) Investment Co., Ltd."
,"China Netcom Group International Communications Co., Ltd."
,"BD&C Bit Lianchuang (Hong Kong) Co., Ltd."
,Bank of China Shanghai Branch
,"Xi'an Zhengda Pharmaceutical Co., Ltd."
,"Pioneer Pharmaceutical Co., Ltd."
,"Kunming Bangyu Pharmaceutical Co., Ltd."
,"Shaanxi Hanjiang Pharmaceutical Co., Ltd."
,"Hainan Kaijian Pharmaceutical Co., Ltd."
,"Allion Computer Co., Ltd."
,Agricultural Bank of China Shenzhen Branch
,Tianjin Commercial Bank
,Guiyang Commercial Bank
,"Hongbai Technology Co., Ltd."
,"Hongbai Technology Co., Ltd. (Taiwan)"
,"Hongbai Technology Co., Ltd."
,"Hongbai Technology Co., Ltd."
,"Hongbai Technology Co., Ltd."
,"Hongbai Technology Co., Ltd."
,"Hongbai Technology Co., Ltd."
,"Hongbai Technology Co., Ltd."
,"Hongbai Technology Co., Ltd."
,"Hongbai Technology Co., Ltd."
,"Hongbai Technology Co., Ltd."
,"Hongbai Technology Co., Ltd."
,Erisson AB
,"Hongbai Technology Co., Ltd."
,"Hongbai Technology Co., Ltd."
,Ericsson AB
,"Hongbai Technology Co., Ltd."
,"Nokia (China) Investment Co., Ltd."
,Bank of Communications Shenzhen Branch
,"Xi'an Zhengda Pharmaceutical Co., Ltd."
,"Guangxi Guangming Pharmaceutical Co., Ltd."
,"Guangxi Guangming Pharmaceutical Co., Ltd."
,"Beijing Huanjing Logistics Co., Ltd."
,"Bohai Bank Co., Ltd."
,"Hongbai Technology Co., Ltd."
,VENTVRPHARM INC (UK)
,"China HP Co., Ltd."
,IBM China HongKong limited
,"Allion Computer Co., Ltd."
,"Allion Computer Co., Ltd."
,"Hongbai Technology Co., Ltd."
,"Hongbai Technology Co., Ltd."
,"Hongbai Technology Co., Ltd."
,"Hongbai Technology Co., Ltd."
,"Hongbai Technology Co., Ltd."
,"Hongbai Technology Co., Ltd."
,"Hongbai Technology Co., Ltd."
,"Changzhou Siyao Pharmaceutical Co., Ltd."
,Shanghai Pudong Development Bank Shanghai Regional Headquarters
,"Nokia (China) Investment Co., Ltd."
,Ericsson AB
,"Japan Century Information Technology Co., Ltd."
,Shandong Tai'an Pharmaceutical Factory
,"Beijing Peking University Weixin Biotechnology Co., Ltd."
,Tianjin Commercial Bank
,NCR（Hongkong）Limited
,Ericsson AB
,"BD&C Bit Lianchuang (Hong Kong) Co., Ltd."
,"Harbin Sanlian Pharmaceutical Co., Ltd."
,"Beijing Lianxin Electronic Technology Development Co., Ltd."
,"Pioneer Pharmaceutical Co., Ltd."
,"Xi'an Xindong Pharmaceutical Co., Ltd."
,"China HP Co., Ltd."
,Ningbo Commercial Bank
,"Beijing Jinyuan Computer Technology Co., Ltd."
,VENTORE PHARM INC.
,Guiyang Commercial Bank
,"Hua Xia Bank Co., Ltd."
,"Hongbai Technology Co., Ltd."
,Guiyang
,Ministry of Railways Fund Clearing Center
,Bank of China Beijing Branch
,"Shanxi Angsheng Pharmaceutical Co., Ltd."
,"Beijing Universal Star Software Co., Ltd."
,"Xinjiang Tiandi Group Co., Ltd."
,"Shanghai Pudong Development Bank Co., Ltd."
,"BD&C Bit Lianchuang (Hong Kong) Co., Ltd."
,Agricultural Bank of China Shenzhen Branch
,Shenzhen Development Bank
,Siemens (Switzerland) Ltd.
,"Allion Computer Co., Ltd."
,"Allion Computer Co., Ltd."
,"Allion Computer Co., Ltd."
,"Allion Computer Co., Ltd."
,"Shanghai Pudong Development Bank Co., Ltd."
,"Nokia (China) Investment Co., Ltd."
,"China Netcom Group International Communications Co., Ltd."
,"Beijing Lenovo FM Technology Co., Ltd."
,Northeast Pharmaceutical Group Shenyang First Pharmaceutical Factory
,Guangdong Development Bank
,"Beijing Huanjing Logistics Co., Ltd."
,"Henan Fusen Pharmaceutical Co., Ltd."
,"Hongbai Technology Co., Ltd."
,"Beijing Lenovo FM Technology Co., Ltd."
,"Chongqing Sano Biopharmaceutical Co., Ltd."
,Beijing Xinlian Electronic Technology Development Company
,"Beijing Yueshengzhai Halal Food Co., Ltd."
,Shenzhen Development Bank
,Agricultural Bank of China Shenzhen Branch
,"Heilongjiang Runtong Biopharmaceutical Co., Ltd."
,Shenzhen State Taxation Bureau
,Agricultural Bank of China Shenzhen Branch
,China Renewable Resources Development Corporation
,Bank of China Guangdong Branch
,Beijing Xinlian Electronic Technology Development Company
,"Beijing Yueshengzhai Halal Food Co., Ltd."
,"Allion Computer Co., Ltd."
,Bank of China Beijing Branch
,"Beijing Lianxin Electronic Technology Development Co., Ltd."
,"Nokia (China) Investment Co., Ltd."
,Changshu Rural Commercial Bank
,"Shenzhen Konka Communication Technology Co., Ltd."
,"Lingsu Pharmaceutical Group Co., Ltd."
,Tianjin Commercial Bank
,Agricultural Bank of China Shenzhen Branch
,Bank of China Beijing Branch
,"Beijing Lenovo FM Technology Co., Ltd."
,"Yisi Software International Co., Ltd."
,"Nokia (China) Investment Co., Ltd."
,Shanghai Pudong Development Bank
,"Shandong Haishan Pharmaceutical Co., Ltd."
,"Guangdong Bidi Pharmaceutical Co., Ltd."
,Beijing Communications Company Business Bureau
,"Hubei Haite Sihuan Pharmaceutical Co., Ltd."
,"Beijing Boran Pharmaceutical Co., Ltd."
,"Brocade Information Industry (Shenzhen) Co., Ltd."
,Beijing Xinlian Electronic Technology Development Company
,"Heilongjiang Runtong Biopharmaceutical Co., Ltd."
,"Heilongjiang Runtong Biopharmaceutical Co., Ltd."
,"Jiangxi Yuanjian Pharmaceutical Co., Ltd."
,Tianjin Commercial Bank
,"Hua Xia Bank Co., Ltd."
,"Nokia (China) Investment Co., Ltd."
,"Yangtze River Pharmaceutical Group Beijing Haiyan Pharmaceutical Co., Ltd."
,Guangdong
,"Beijing Zhengshun Technology and Trade Co., Ltd."
,"Game Paradise Electronic Technology (Beijing) Co., Ltd."
,Bank of China Beijing Branch
,ALLION COMPUFU INC.
,"Nokia (China) Investment Co., Ltd."
,"Nokia (China) Investment Co., Ltd."
,"Chongqing Vitri Pharmaceutical Development Co., Ltd."
,"Jiangsu Yangzijiang Pharmaceutical Group Co., Ltd."
,"Nanjing Zhengda Tianqing Pharmaceutical Co., Ltd."
,Honeywell Automation and Control Laboratory
,"Yunnan Yunhe Pharmaceutical Co., Ltd."
,Grain Warehouse in Western Suburbs of Beijing
,"Ryotsu JAPAN Co., Ltd."
,"Nokia (China) Investment Co., Ltd."
,"Bank of China Co., Ltd. Shanghai Branch"
,Bank of China Liaoning Branch
,Bank of China Hebei Branch
,"Beijing Universal Star Software Co., Ltd."
,"Nokia (China) Investment Co., Ltd."
,"Henan Fusen Pharmaceutical Co., Ltd."
,Bank of Communications Shenzhen Branch
,Agricultural Bank of China Shenzhen Branch
,Tianjin Commercial Bank
,"Yangtze River Pharmaceutical Group Beijing Haiyan Pharmaceutical Co., Ltd."
,"Bank of China Co., Ltd. Shanghai Branch"
,Ericsson AB
,Agricultural Bank of China Shenzhen Branch
,"Chongqing Sano Biopharmaceutical Co., Ltd."
,"Chongqing Sano Biopharmaceutical Co., Ltd."
,"Chongqing Sano Biopharmaceutical Co., Ltd."
,"Chongqing Sano Biopharmaceutical Co., Ltd."
,"Nokia (China) Investment Co., Ltd."
,Guangzhou Information Center
,Bank of Communications Shenzhen Branch
,"Beijing Kexin Bicheng Pharmaceutical Technology Development Co., Ltd."
,Beijing Okay Medical Research Institute
,Bank of China Guangdong Branch
,"Beijing Wangzhihe Food Group Co., Ltd. Wangzhihe Food Distribution Department"
,"Beijing Fujitsu System Engineering Co., Ltd."
,"Beijing Jinyuan Computer Technology Co., Ltd."
,"Beijing Wangzhihe Food Group Co., Ltd."
,"Yangzijiang Pharmaceutical Group Co., Ltd."
,Agricultural Bank of China Shenzhen Branch
,"Jiangsu Zhongbang Pharmaceutical Co., Ltd."
,"Jiangsu Zhongbang Pharmaceutical Co., Ltd."
,"Game Paradise Electronic Technology (Beijing) Co., Ltd."
,Bank of China Beijing Branch
,Bank of China Beijing Branch
,"Beijing Tianwei Shenghe Pharmaceutical Technology Co., Ltd."
,"Bank of China Co., Ltd. Shanghai Branch"
,"Bank of China Co., Ltd. Hebei Branch"
,"Beijing Chuangshi Wuxian Information Technology Co., Ltd."
,"Nokia (China) Investment Co., Ltd."
,"Beijing Universal Star Software Co., Ltd."
,"Beijing Jinghe Times Software Technology Co., Ltd."
,"Heilongjiang Runtong Biopharmaceutical Co., Ltd."
,"Hua Xia Bank Co., Ltd."
,Agricultural Bank of China Shenzhen Branch
,"Yangtze River Pharmaceutical Group Beijing Haiyan Pharmaceutical Co., Ltd."
,"Game Paradise Electronic Technology (Beijing) Co., Ltd."
,Bank of China Shanghai Branch
,"Nokia (China) Investment Co., Ltd."
,"Nokia (China) Investment Co., Ltd."
,"Nokia (China) Investment Co., Ltd."
,"Shenzhen Diwei Video Technology Co., Ltd."
,"Hua Xia Bank Co., Ltd."
,Bank of China Beijing Branch
,"Nokia (China) Investment Co., Ltd."
,"Nokia (China) Investment Co., Ltd."
,HSBC Bank
,"Beijing Chuangshi Wuxian Information Technology Co., Ltd."
,"Beijing Universal Star Software Co., Ltd."
,"Nokia (China) Investment Co., Ltd."
,Agricultural Bank of China Shenzhen Branch
,"Liuzhi Industrial and Mining (Group) Dahua Pharmaceutical Co., Ltd."
,China International Travel Service Head Office
,Beijing Great Wall Measurement and Testing Technology Research Institute
,"Beijing Hongle Enterprise Planning Co., Ltd."
,Bank of China Head Office
,"Heilongjiang Runtong Biopharmaceutical Co., Ltd."
,"Heilongjiang Runtong Biopharmaceutical Co., Ltd."
,"Heilongjiang Runtong Biopharmaceutical Co., Ltd."
,"Guizhou Liuzhi Industrial and Mining (Group) Dahua Pharmaceutical Co., Ltd."
,"Guizhou Liuzhi Industrial and Mining (Group) Dahua Pharmaceutical Co., Ltd."
,"Guizhou Liuzhi Industrial and Mining (Group) Dahua Pharmaceutical Co., Ltd."
