name of the buyer,if the project is a R&D mission
"NEC Information Systems (China) Co., Ltd.",1
"NEC Information Systems (China) Co., Ltd.",1
"Hitachi Information Systems (Shanghai) Co., Ltd. Beijing Branch",1
"Hitachi Information Systems (Shanghai) Co., Ltd. Beijing Branch",1
"Beijing Tuxin Jingwei Navigation System Co., Ltd.",1
"Beijing Sun Village Technology Co., Ltd.",0
"NEC Information Systems (China) Co., Ltd.",1
"NEC Information Systems (China) Co., Ltd.",1
"Yuxin Data Technology Co., Ltd.",1
"Beijing Siyuan Software Co., Ltd.",1
"Yuxin Data Technology Co., Ltd.",1
"NEC Information Systems (China) Co., Ltd.",1
"NEC Information Systems (China) Co., Ltd.",1
"NEC Information Systems (China) Co., Ltd.",1
"NEC Information Systems (China) Co., Ltd.",1
"Beijing Anke Internet Software Development Co., Ltd.",1
"NEC Information Systems (China) Co., Ltd.",1
"NEC Information Systems (China) Co., Ltd.",1
"NEC Information Systems (China) Co., Ltd.",1
"NEC Information Systems (China) Co., Ltd.",1
"Agilent Technologies (China) Co., Ltd.",1
"Hitachi Information Systems (Shanghai) Co., Ltd. Beijing Branch",1
"Agilent Technologies (China) Co., Ltd.",1
"NEC Information Systems (China) Co., Ltd.",1
"NEC Information Systems (China) Co., Ltd.",1
"NEC Information Systems (China) Co., Ltd.",1
"NEC Information Systems (China) Co., Ltd.",1
"Beijing Jiyoute Software Co., Ltd.",1
"Beijing Shengfengming Information Technology Co., Ltd. Cooperation Agreement",0
"NEC Information Systems (China) Co., Ltd.",1
"NEC Information Systems (China) Co., Ltd.",1
"NEC Information Systems (China) Co., Ltd.",1
"ACCESS (Beijing) Technology Co., Ltd.",0
"NEC Information Systems (China) Co., Ltd.",1
"NEC Information Systems (China) Co., Ltd.",1
"NEC Information Systems (China) Co., Ltd.",1
"Yuxin Data Technology Co., Ltd.",1
"NEC Information Systems (China) Co., Ltd.",1
"NEC Excellence Software Technology (Beijing) Co., Ltd. Xi'an Branch",1
"NEC Information Systems (China) Co., Ltd.",1
"NEC Excellence Software Technology (Beijing) Co., Ltd. Xi'an Branch",1
"NEC Information Systems (China) Co., Ltd.",1
"Societe Generale (China) Co., Ltd.",0
"Dah Sing Bank (China) Co., Ltd.",1
"Soumengsi (Beijing) Network Technology Consulting Co., Ltd.",1
"Century New Information Technology (Beijing) Co., Ltd.",1
"Wuxi Dewang Kerong Technology System Co., Ltd.",1
"Beijing Kujie Information Technology Co., Ltd.",0
"Wuxi Dewang Kerong Technology System Co., Ltd.",1
"ACCESS (Beijing) Media Technology Co., Ltd.",0
"Beijing Northern Xieli Information Technology Co., Ltd.",1
"BigHandz Co.,Ltd",1
"Societe Generale (China) Co., Ltd.",1
"Beijing North Xinyu Information Technology Co., Ltd.",1
"Shanghai Tianzong Network Co., Ltd.",1
Shenzhen Development Bank,1
"Societe Generale (China) Co., Ltd.",1
"Beijing Tuxin Jingwei Navigation System Co., Ltd.",1
Hinge Global Resources Inc.,1
"Beijing Lingtu Star Technology Co., Ltd.",0
"Beijing Shengfengming Information Technology Co., Ltd.",0
"Dah Sing Bank (China) Co., Ltd.",1
"Apache (Beijing) Fiber Laser Technology Co., Ltd.",0
Wing Hang Bank (China) Limited,1
Japan BigHandz Co.Ltd,1
"Beijing Tuxin Jingwei Navigation System Co., Ltd.",1
Wing Hang Bank (China) Limited,1
"China HP Co., Ltd.",1
"Rocket Software,Inc",1
"Rocket Software, Inc",1
FERMA Pte Ltd,0
"Shaanxi Lianzhong Digital Entertainment Technology Co., Ltd.",0
Analogix International,1
"Dongguan Dongju Electronic Telecommunications Products Co., Ltd.",1
"Dongguan Dongju Electronic Telecommunications Products Co., Ltd.",1
"Beijing Fuhua Yitong Technology Development Co., Ltd.",0
International Business Machines Corporation,1
International Business Machines Corporation,1
Wang Yue,0
"Beijing Gaodehaomen Network Technology Co., Ltd.",1
"Beijing Gaodehaomen Network Technology Co., Ltd.",1
"Beijing Gaodehaomen Network Technology Co., Ltd.",1
"Beijing Beidazhi Microsystem Technology Co., Ltd.",1
Nokia Corporation,1
Microsoft Corporation,1
Lucent Technologies,1
"Guangzhou Procter & Gamble Co., Ltd.",1
Langxun Technology Company,1
Nokia Corporation,1
(PROCTER & GAMBLE COMPANY) Procter & Gamble USA,1
Lucent Technologies,1
Lucent Technologies,1
Lucent Technologies,1
"LG Electronics Co., Ltd.",1
"South Korea Samsung Electronics Co., Ltd.",1
"LG Electronics Co., Ltd.",1
Ericsson AB,1
Ericsson AB,1
Ericsson AB,1
"LG Electronics Co., Ltd.",1
Ericsson AB,1
Motorola Corporation of America,1
"Siemens International Trading (Shanghai) Co., Ltd.",1
"Samsung Electronics Co., Ltd.",1
Nokia Networks,1
Ericsson AB,1
STMicroelectronics NV,1
Ericsson AB,1
"Wuhan NEC Mobile Communications Co., Ltd.",1
Ericsson AB(EAB),1
STMicroelectronics Asia Pacific (Private) Limited,1
Ericsson AB,1
SONY EMCS Minokamo Technology Center,1
Schlumberger Ltd.,1
o2Micro International LTD,1
Ericsson AB,1
Ericsson AB(EAB),1
"Samsung Electronics Co., Ltd.",1
"Wuhan NEC Mobile Communications Co., Ltd.",1
"Nippon Electric Co., Ltd.",1
Ericsson AB,1
Ericsson AB,1
Ericsson AB,1
AOMicrosystems International Corporation,1
"LG Electronics Co., Ltd.",1
"LG Electronics Co., Ltd.",0
LG Electronics Corporation,1
Shenzhen Development Bank,1
Toshiba Corporation,1
"Samsung Electronics Co., Ltd. (SAIT)",1
AOMicrosystems International Corporation,1
"LG Electronics Co., Ltd.",1
"Siemens International Trading (Shanghai) Co., Ltd.",1
"Hangzhou Starcom Communications Co., Ltd.",1
"LG Electronics Co., Ltd.",0
"Samsung Electronics Co., Ltd. (SAIT)",1
"Samsung Electronics Co., Ltd. (SAIT)",1
Ericsson AB,1
Ericsson AB,1
"Guangdong Shenzhen Liangshun Automobile Information Technology Co., Ltd.",0
Erisson AB,1
Gemplus SA,1
Gemplus SA,1
Gemplus Technologies Asia Pte.Ltd,1
Gemplus Technologies Asia Pte.Ltd,1
Gemplus SA,1
"Beijing Middle Eastern Inspection Information Technology Co., Ltd.",0
Gemplus SA,1
Ericsson AB,1
Gemplus Technologies Asia Pte.Ltd,1
"Beijing Zizhu Pharmaceutical Co., Ltd.",0
"LG Electronics Co., Ltd.",1
Ericsson AB,1
"Toshiba Medical Systems Co., Ltd.",1
"LG Electronics Co., Ltd.",1
China Everbright Bank,1
China Everbright Bank,1
"Beijing CRRC Information Technology Co., Ltd.",0
"Huawei Technologies Co., Ltd",1
"Beijing ABB High Voltage Switchgear Co., Ltd.",0
"LG Electronics Co., Ltd.",1
"Hangzhou Starcom Communications Co., Ltd.",1
AOMicrosystems International Corporation,1
Gemplus SA,1
"Beijing CRRC Information Technology Co., Ltd.",0
"Shenzhen Konka Communication Technology Co., Ltd.",1
"Samsung Electronics Co., Ltd. (South Korea)",1
AOMicrosystems International Corporation,1
Gemplus Technologies Asia Pte.Ltd,1
"Hong Kong VIA Electronics Co., Ltd.",1
"Wuhan Renfu Pharmaceutical Co., Ltd.",0
"Shenzhen Konka Communication Technology Co., Ltd.",1
Japan Sony Corporation,1
"Shenzhen Sangfei Consumer Communications Co., Ltd.",1
"Beijing Zizhu Pharmaceutical Co., Ltd.",0
"Beijing Zizhu Pharmaceutical Co., Ltd.",0
Beijing Wanhui Pharmaceutical Group,0
"China Electronics Communications Technology Co., Ltd.",1
"Qingdao Hisense Communications Co., Ltd.",1
"Gansu Mobile Communications Co., Ltd.",1
Shenzhen Development Bank,1
Nanhai Rural Credit Cooperative,1
"Beijing Universal Star Software Co., Ltd.",0
"Century Information Technology Co., Ltd.",1
"Yongxin Pharmaceutical Industry (Kunshan) Co., Ltd.",0
"Beijing Peking University Weixin Biotechnology Co., Ltd.",0
Honeywell Automation and Control Laboratory,1
Guangdong Development Bank,1
"Shenzhen Konka Communication Technology Co., Ltd.",0
"Panasonic Electric Industrial Co., Ltd. Overseas Promotion Center",1
"Shenzhen Konka Communication Technology Co., Ltd.",0
"Allion Computer Co., Ltd.",1
"Beijing Donghai Huzhong Technology Co., Ltd.",1
"Beijing Shuanglu Pharmaceutical Co., Ltd.",0
"Jiangxi Jiangzhong Pharmaceutical Co., Ltd.",0
"Huizhou Qiaoxing Telecommunications Industry Co., Ltd.",1
"China Electronics Communications Technology Co., Ltd.",1
"Nokia (China) Investment Co., Ltd.",0
"Jilin Tonghua Zhenguo Pharmaceutical Co., Ltd.",1
"Beijing Shuanglu Pharmaceutical Co., Ltd.",0
"Guangzhou Southern Hi-Tech Co., Ltd.",1
"Japan Century Information Technology Co., Ltd.",1
"Beijing Guoke Hualong Information Technology Co., Ltd.",0
"BD&C Bit Lianchuang (Hong Kong) Co., Ltd.",0
"Beijing SECCO Pharmaceutical Co., Ltd.",0
ERICSSON AB (EAB),1
"Shijiazhuang Pharmaceutical Group Co., Ltd.",0
"Nokia (China) Investment Co., Ltd.",0
"Beijing Shuanglu Pharmaceutical Co., Ltd.",0
"Nokia (China) Investment Co., Ltd.",0
"Nokia (China) Investment Co., Ltd.",0
"Nokia (China) Investment Co., Ltd.",0
"Leshan Sanjiu Long March Co., Ltd.",0
"Beijing SECCO Pharmaceutical Co., Ltd.",0
"China Electronics Communications Technology Co., Ltd.",1
"Bank of Communications Co., Ltd.",1
"Motorola (China) Electronics Co., Ltd.",1
"Nokia (China) Investment Co., Ltd.",0
"Beijing SECCO Pharmaceutical Co., Ltd.",0
"Hainan Pioneer Pharmaceutical Co., Ltd.",0
"Huizhou Qiaoxing Telecommunications Industry Co., Ltd.",1
"Guangzhou Southern Hi-Tech Co., Ltd.",1
"Pioneer Pharmaceutical Co., Ltd.",0
"Hong Kong VIA Electronics Co., Ltd.",1
Ericsson AB,1
"Century Information Technology Co., Ltd.",1
"Nokia (China) Investment Co., Ltd.",0
"Tianjin Zhongtianyuan Pharmaceutical Co., Ltd.",0
"Hubei Sibao Pharmaceutical Co., Ltd.",0
"Guangzhou Southern Hi-Tech Co., Ltd.",1
"Toshiba Mobile Communications Co., Ltd.",1
"Jiangsu Huanghai Pharmaceutical Co., Ltd.",0
"Sichuan Baili Pharmaceutical Co., Ltd.",0
"Sichuan Xinston Pharmaceutical Co., Ltd.",0
"Bank of Communications Co., Ltd.",1
"China Mobile Communications Group Shanghai Co., Ltd.",1
"Nokia (China) Investment Co., Ltd.",0
"Bank of China Limited, Macau Branch",1
"Shijiazhuang Pharmaceutical Group Co., Ltd.",0
"Shijiazhuang Pharmaceutical Group Co., Ltd.",0
"Jiangsu Yangzijiang Pharmaceutical Group Co., Ltd.",0
"Daewoo Information Co., Ltd.",0
"China Mobile Communications Group Shanghai Co., Ltd.",1
"Hubei Sibao Pharmaceutical Co., Ltd.",0
Shenzhen Development Bank,1
"Chengdu Beite Pharmaceutical Co., Ltd.",0
"Beijing Zizhu Pharmaceutical Co., Ltd.",0
"Sichuan Xinston Pharmaceutical Co., Ltd.",0
"Shandong Continental Pharmaceutical Co., Ltd.",0
"Dalian Daxian Communications Co., Ltd.",1
"Pioneer Pharmaceutical Co., Ltd.",0
"Yunnan Wanyu Pharmaceutical Co., Ltd.",1
"BD&C Bit Lianchuang (Hong Kong) Co., Ltd.",0
"Liaoning Mobile Communications Co., Ltd.",1
Guangdong Development Bank,1
"China Mobile Communications Group Shanghai Co., Ltd.",1
"BD&C Bit Lianchuang (Hong Kong) Co., Ltd.",0
"Shijiazhuang Pharmaceutical Group Co., Ltd.",0
"Xuzhou Enhua Pharmaceutical Group Co., Ltd.",0
"Qingdao Guofeng Pharmaceutical Co., Ltd.",0
"Qingdao Guofeng Pharmaceutical Co., Ltd.",0
China Mobile Communications Group Corporation,1
Inner Mongolia Mobile Communications Company,1
"Beijing Universal Star Software Co., Ltd.",0
"China HP Co., Ltd.",0
"Panasonic Electric Works INFORMATION SYSTEM Co., Ltd.",0
Guangdong Development Bank,1
"Guizhou Pharmaceutical (Group) Co., Ltd.",0
"Guizhou Gute Bioengineering Co., Ltd.",0
"Sichuan Baili Pharmaceutical Co., Ltd.",0
"Xuzhou Enhua Pharmaceutical Group Co., Ltd.",0
"Hainan Kangli Pharmaceutical Co., Ltd.",0
"Tianjin Zhongxin Pharmaceutical Group Co., Ltd. Sixth Traditional Chinese Medicine Factory",0
Ministry of Foreign Affairs Information Work Leading Group,1
"Guizhou Xinbang Pharmaceutical Co., Ltd.",0
Shanghai Pudong Development Bank,1
"Beijing Shuanglu Pharmaceutical Co., Ltd.",0
"Beijing Shuanglu Pharmaceutical Co., Ltd.",0
"Dezhou Haishan Pharmaceutical Co., Ltd.",0
"Wuhan Handu Technology Co., Ltd.",1
"Bank of Communications Co., Ltd.",1
Bank of China Beijing Branch,1
Ericsson AB,1
"Bitlink (Hong Kong) Co., Ltd.",0
"Nokia (China) Investment Co., Ltd.",0
Honeywell Process Industries,1
"Jilin Xidian Pharmaceutical Technology Development Co., Ltd.",0
"Hubei Guangji Pharmaceutical Co., Ltd.",0
"Beijing Shuanglu Pharmaceutical Co., Ltd.",0
"Shanghai Pharmaceutical Co., Ltd.",0
"Beijing Qibaitong Technology Co., Ltd.",1
"Dalian Tianyu Pharmaceutical Co., Ltd.",0
"Sichuan Xinston Pharmaceutical Co., Ltd.",0
"Guangdong Nuojin Medical Appointment Co., Ltd.",1
"Kunming Bangyu Pharmaceutical Technology Co., Ltd.",0
China International Airlines,1
China International Airlines,1
"Liyang Co., Ltd. (Japan)",1
Changshu Rural Commercial Bank,1
"Beijing Guoke Hualong Information Technology Co., Ltd.",0
"Beijing Panasonic Color Picture Tube Co., Ltd.",1
"Shandong Lufu Pharmaceutical Group Co., Ltd.",0
"Game Paradise Electronic Technology (Beijing) Co., Ltd.",0
"Shandong Continental Pharmaceutical Co., Ltd.",0
"Japan Century Information Technology Co., Ltd.",1
"Japan Century Information Technology Co., Ltd.",1
"China Mobile Communications Group Shanghai Co., Ltd.",1
"Beijing Jinyuan Computer Technology Co., Ltd.",1
"Beijing SECCO Pharmaceutical Co., Ltd.",0
"Shanxi Jinhua Pharmaceutical Co., Ltd.",0
"Century Information Technology Co., Ltd.",1
"Daewoo Information Co., Ltd.",0
VENTURZ PHARM INC.,1
"Shanghai Pudong Development Bank Co., Ltd.",1
"Bengbu Fengyuan Pharmaceutical Technology Co., Ltd.",0
"Beijing Softfa Technology Co., Ltd.",1
"Guizhou Xinbang Pharmaceutical Co., Ltd.",0
"Jiangsu Zhengda Fenghai Pharmaceutical Co., Ltd.",1
"Jiangsu Zhengda Fenghai Pharmaceutical Co., Ltd.",1
"Bitlink (Hong Kong) Co., Ltd.",1
"Santak Electronics (Shenzhen) Co., Ltd.",1
Shenzhen Federation of Rural Credit Cooperatives,1
"Japan Century Information Technology Co., Ltd.",1
"Game Paradise Electronic Technology (Beijing) Co., Ltd.",0
"Qingdao Guofeng Pharmaceutical Co., Ltd.",0
"Chongqing Sano Biopharmaceutical Co., Ltd.",0
"Beijing Shuanghe Pharmaceutical Co., Ltd.",0
"Shanghai Yutong Pharmaceutical Co., Ltd.",0
"Tianjin Zhongxin Pharmaceutical Group Co., Ltd. Sixth Traditional Chinese Medicine Factory",0
"Shandong Grandbaike Biopharmaceutical Co., Ltd.",0
"China HP Co., Ltd.",0
Honeywell International Ltd.,1
Ericsson AB,1
"Beijing Universal Star Software Co., Ltd.",0
"Japan Century Information Technology Co., Ltd.",1
Ericsson AB,1
Bank of China Beijing Branch,1
"Hongbai Technology Co., Ltd.",1
Logistics information management system for grain warehouse in western suburbs of Beijing,1
"Hainan Kangli Pharmaceutical Technology Co., Ltd.",0
"Shandong Grandbaike Biopharmaceutical Co., Ltd.",0
Guangdong Development Bank,0
Bank of China Beijing Branch,1
Ericsson AB,1
VETURE PHARM INC.,1
"Guizhou Zhongsheng Pharmaceutical Co., Ltd.",0
"Shaanxi Hanjiang Pharmaceutical Co., Ltd.",0
"Jiangsu Snow Leopard Pharmaceutical Co., Ltd.",0
"Japan Century Information Technology Co., Ltd.",1
"Baishan Guoxin Pharmaceutical Co., Ltd.",0
"Shanghai Xudong Haipu Pharmaceutical Co., Ltd.",0
"Nokia (China) Investment Co., Ltd.",0
"Beijing Lenovo 365 Technology Co., Ltd.",1
China Aviation Industry Corporation Shanghai Aircraft Design Institute,1
"China Mobile Communications Group Shanghai Co., Ltd.",1
"China Network Communications Co., Ltd.",1
Zhejiang Yada Pharmaceutical Factory,0
"Japan Century Information Technology Co., Ltd.",1
"Honeywell (USA) Co., Ltd.",1
"Panasonic Electric Industrial Co., Ltd. Overseas R&D Promotion Center",1
"Guangdong Development Bank Co., Ltd.",1
Bank of China Guangdong Branch,1
Bank of China Shanghai Branch,1
"Shaanxi Hanjiang Pharmaceutical Co., Ltd.",0
"Shaanxi Hanjiang Pharmaceutical Co., Ltd.",0
"Jilin Xidian Pharmaceutical Technology Development Co., Ltd.",0
Changsha Commercial Bank,1
"Bank of China Co., Ltd. Liaoning Provincial Branch",1
Honeywell (Singapore) Ltd.,1
Ericsson AB,1
"Bank of Communications Co., Ltd.",0
"Nokia (China) Investment Co., Ltd.",0
Hua Xia Bank Head Office,1
Song Xinbo,0
"Jiangsu Zhongbang Pharmaceutical Co., Ltd.",0
"Japan Century Information Technology Co., Ltd.",1
Honeywell Automation and Control Laboratory,1
"Beijing Lianxin Electronic Technology Development Co., Ltd.",1
China International Travel Service Head Office,1
"Hongbai Technology Co., Ltd.",1
"Hongbai Technology Co., Ltd.",1
"Hainan Tongzhou Pharmaceutical Co., Ltd.",1
"Heilongjiang Runtong Biopharmaceutical Co., Ltd.",0
"Jiangsu Yangzijiang Pharmaceutical Group Co., Ltd.",0
Harbin Pharmaceutical Group Pharmaceutical Factory,1
Honeywell (Prague) Technology R&D Laboratory,1
Bank of China Hebei Branch,1
"Bank of China Co., Ltd. Hebei Branch",1
Bank of China Liaoning Branch,1
Ericsson AB,1
China International Travel Service Head Office,1
Xiamen International Bank,1
"Hongbai Technology Co., Ltd.",1
"Jiangsu Qingjiang Pharmaceutical Co., Ltd.",0
"Nokia (China) Investment Co., Ltd.",0
"China Netcom Group International Communications Co., Ltd.",1
"BD&C Bit Lianchuang (Hong Kong) Co., Ltd.",0
Bank of China Shanghai Branch,1
"Xi'an Zhengda Pharmaceutical Co., Ltd.",1
"Pioneer Pharmaceutical Co., Ltd.",1
"Kunming Bangyu Pharmaceutical Co., Ltd.",0
"Shaanxi Hanjiang Pharmaceutical Co., Ltd.",0
"Hainan Kaijian Pharmaceutical Co., Ltd.",1
"Allion Computer Co., Ltd.",1
Agricultural Bank of China Shenzhen Branch,1
Tianjin Commercial Bank,1
Guiyang Commercial Bank,1
"Hongbai Technology Co., Ltd.",1
"Hongbai Technology Co., Ltd. (Taiwan)",1
"Hongbai Technology Co., Ltd.",1
"Hongbai Technology Co., Ltd.",1
"Hongbai Technology Co., Ltd.",1
"Hongbai Technology Co., Ltd.",1
"Hongbai Technology Co., Ltd.",1
"Hongbai Technology Co., Ltd.",1
"Hongbai Technology Co., Ltd.",1
"Hongbai Technology Co., Ltd.",1
"Hongbai Technology Co., Ltd.",1
"Hongbai Technology Co., Ltd.",1
Erisson AB,1
"Hongbai Technology Co., Ltd.",1
"Hongbai Technology Co., Ltd.",1
Ericsson AB,1
"Hongbai Technology Co., Ltd.",1
"Nokia (China) Investment Co., Ltd.",0
Bank of Communications Shenzhen Branch,1
"Xi'an Zhengda Pharmaceutical Co., Ltd.",1
"Guangxi Guangming Pharmaceutical Co., Ltd.",1
"Guangxi Guangming Pharmaceutical Co., Ltd.",1
"Beijing Huanjing Logistics Co., Ltd.",1
"Bohai Bank Co., Ltd.",1
"Hongbai Technology Co., Ltd.",1
VENTVRPHARM INC (UK),1
"China HP Co., Ltd.",0
IBM China HongKong limited,1
"Allion Computer Co., Ltd.",1
"Allion Computer Co., Ltd.",1
"Hongbai Technology Co., Ltd.",1
"Hongbai Technology Co., Ltd.",1
"Hongbai Technology Co., Ltd.",1
"Hongbai Technology Co., Ltd.",1
"Hongbai Technology Co., Ltd.",1
"Hongbai Technology Co., Ltd.",1
"Hongbai Technology Co., Ltd.",1
"Changzhou Siyao Pharmaceutical Co., Ltd.",0
Shanghai Pudong Development Bank Shanghai Regional Headquarters,1
"Nokia (China) Investment Co., Ltd.",0
Ericsson AB,1
"Japan Century Information Technology Co., Ltd.",1
Shandong Tai'an Pharmaceutical Factory,0
"Beijing Peking University Weixin Biotechnology Co., Ltd.",1
Tianjin Commercial Bank,1
NCR（Hongkong）Limited,1
Ericsson AB,1
"BD&C Bit Lianchuang (Hong Kong) Co., Ltd.",0
"Harbin Sanlian Pharmaceutical Co., Ltd.",0
"Beijing Lianxin Electronic Technology Development Co., Ltd.",1
"Pioneer Pharmaceutical Co., Ltd.",1
"Xi'an Xindong Pharmaceutical Co., Ltd.",0
"China HP Co., Ltd.",0
Ningbo Commercial Bank,1
"Beijing Jinyuan Computer Technology Co., Ltd.",1
VENTORE PHARM INC.,1
Guiyang Commercial Bank,1
"Hua Xia Bank Co., Ltd.",0
"Hongbai Technology Co., Ltd.",1
Guiyang,1
Ministry of Railways Fund Clearing Center,1
Bank of China Beijing Branch,1
"Shanxi Angsheng Pharmaceutical Co., Ltd.",1
"Beijing Universal Star Software Co., Ltd.",0
"Xinjiang Tiandi Group Co., Ltd.",1
"Shanghai Pudong Development Bank Co., Ltd.",1
"BD&C Bit Lianchuang (Hong Kong) Co., Ltd.",0
Agricultural Bank of China Shenzhen Branch,1
Shenzhen Development Bank,1
Siemens (Switzerland) Ltd.,1
"Allion Computer Co., Ltd.",1
"Allion Computer Co., Ltd.",1
"Allion Computer Co., Ltd.",1
"Allion Computer Co., Ltd.",1
"Shanghai Pudong Development Bank Co., Ltd.",1
"Nokia (China) Investment Co., Ltd.",0
"China Netcom Group International Communications Co., Ltd.",1
"Beijing Lenovo FM Technology Co., Ltd.",1
Northeast Pharmaceutical Group Shenyang First Pharmaceutical Factory,1
Guangdong Development Bank,1
"Beijing Huanjing Logistics Co., Ltd.",1
"Henan Fusen Pharmaceutical Co., Ltd.",1
"Hongbai Technology Co., Ltd.",1
"Beijing Lenovo FM Technology Co., Ltd.",1
"Chongqing Sano Biopharmaceutical Co., Ltd.",0
Beijing Xinlian Electronic Technology Development Company,1
"Beijing Yueshengzhai Halal Food Co., Ltd.",1
Shenzhen Development Bank,0
Agricultural Bank of China Shenzhen Branch,1
"Heilongjiang Runtong Biopharmaceutical Co., Ltd.",0
Shenzhen State Taxation Bureau,0
Agricultural Bank of China Shenzhen Branch,1
China Renewable Resources Development Corporation,1
Bank of China Guangdong Branch,1
Beijing Xinlian Electronic Technology Development Company,1
"Beijing Yueshengzhai Halal Food Co., Ltd.",1
"Allion Computer Co., Ltd.",1
Bank of China Beijing Branch,1
"Beijing Lianxin Electronic Technology Development Co., Ltd.",0
"Nokia (China) Investment Co., Ltd.",0
Changshu Rural Commercial Bank,1
"Shenzhen Konka Communication Technology Co., Ltd.",1
"Lingsu Pharmaceutical Group Co., Ltd.",0
Tianjin Commercial Bank,1
Agricultural Bank of China Shenzhen Branch,1
Bank of China Beijing Branch,1
"Beijing Lenovo FM Technology Co., Ltd.",1
"Yisi Software International Co., Ltd.",0
"Nokia (China) Investment Co., Ltd.",0
Shanghai Pudong Development Bank,1
"Shandong Haishan Pharmaceutical Co., Ltd.",1
"Guangdong Bidi Pharmaceutical Co., Ltd.",0
Beijing Communications Company Business Bureau,1
"Hubei Haite Sihuan Pharmaceutical Co., Ltd.",1
"Beijing Boran Pharmaceutical Co., Ltd.",1
"Brocade Information Industry (Shenzhen) Co., Ltd.",1
Beijing Xinlian Electronic Technology Development Company,1
"Heilongjiang Runtong Biopharmaceutical Co., Ltd.",1
"Heilongjiang Runtong Biopharmaceutical Co., Ltd.",1
"Jiangxi Yuanjian Pharmaceutical Co., Ltd.",0
Tianjin Commercial Bank,1
"Hua Xia Bank Co., Ltd.",0
"Nokia (China) Investment Co., Ltd.",0
"Yangtze River Pharmaceutical Group Beijing Haiyan Pharmaceutical Co., Ltd.",0
Guangdong,1
"Beijing Zhengshun Technology and Trade Co., Ltd.",0
"Game Paradise Electronic Technology (Beijing) Co., Ltd.",0
Bank of China Beijing Branch,1
ALLION COMPUFU INC.,1
"Nokia (China) Investment Co., Ltd.",0
"Nokia (China) Investment Co., Ltd.",0
"Chongqing Vitri Pharmaceutical Development Co., Ltd.",1
"Jiangsu Yangzijiang Pharmaceutical Group Co., Ltd.",1
"Nanjing Zhengda Tianqing Pharmaceutical Co., Ltd.",1
Honeywell Automation and Control Laboratory,1
"Yunnan Yunhe Pharmaceutical Co., Ltd.",1
Grain Warehouse in Western Suburbs of Beijing,1
"Ryotsu JAPAN Co., Ltd.",1
"Nokia (China) Investment Co., Ltd.",0
"Bank of China Co., Ltd. Shanghai Branch",1
Bank of China Liaoning Branch,1
Bank of China Hebei Branch,1
"Beijing Universal Star Software Co., Ltd.",0
"Nokia (China) Investment Co., Ltd.",0
"Henan Fusen Pharmaceutical Co., Ltd.",1
Bank of Communications Shenzhen Branch,1
Agricultural Bank of China Shenzhen Branch,1
Tianjin Commercial Bank,1
"Yangtze River Pharmaceutical Group Beijing Haiyan Pharmaceutical Co., Ltd.",0
"Bank of China Co., Ltd. Shanghai Branch",1
Ericsson AB,1
Agricultural Bank of China Shenzhen Branch,1
"Chongqing Sano Biopharmaceutical Co., Ltd.",1
"Chongqing Sano Biopharmaceutical Co., Ltd.",1
"Chongqing Sano Biopharmaceutical Co., Ltd.",1
"Chongqing Sano Biopharmaceutical Co., Ltd.",1
"Nokia (China) Investment Co., Ltd.",0
Guangzhou Information Center,1
Bank of Communications Shenzhen Branch,1
"Beijing Kexin Bicheng Pharmaceutical Technology Development Co., Ltd.",1
Beijing Okay Medical Research Institute,1
Bank of China Guangdong Branch,0
"Beijing Wangzhihe Food Group Co., Ltd. Wangzhihe Food Distribution Department",1
"Beijing Fujitsu System Engineering Co., Ltd.",1
"Beijing Jinyuan Computer Technology Co., Ltd.",1
"Beijing Wangzhihe Food Group Co., Ltd.",1
"Yangzijiang Pharmaceutical Group Co., Ltd.",0
Agricultural Bank of China Shenzhen Branch,1
"Jiangsu Zhongbang Pharmaceutical Co., Ltd.",1
"Jiangsu Zhongbang Pharmaceutical Co., Ltd.",1
"Game Paradise Electronic Technology (Beijing) Co., Ltd.",0
Bank of China Beijing Branch,1
Bank of China Beijing Branch,1
"Beijing Tianwei Shenghe Pharmaceutical Technology Co., Ltd.",0
"Bank of China Co., Ltd. Shanghai Branch",1
"Bank of China Co., Ltd. Hebei Branch",1
"Beijing Chuangshi Wuxian Information Technology Co., Ltd.",1
"Nokia (China) Investment Co., Ltd.",0
"Beijing Universal Star Software Co., Ltd.",0
"Beijing Jinghe Times Software Technology Co., Ltd.",0
"Heilongjiang Runtong Biopharmaceutical Co., Ltd.",1
"Hua Xia Bank Co., Ltd.",1
Agricultural Bank of China Shenzhen Branch,1
"Yangtze River Pharmaceutical Group Beijing Haiyan Pharmaceutical Co., Ltd.",0
"Game Paradise Electronic Technology (Beijing) Co., Ltd.",0
Bank of China Shanghai Branch,1
"Nokia (China) Investment Co., Ltd.",0
"Nokia (China) Investment Co., Ltd.",0
"Nokia (China) Investment Co., Ltd.",0
"Shenzhen Diwei Video Technology Co., Ltd.",1
"Hua Xia Bank Co., Ltd.",1
Bank of China Beijing Branch,1
"Nokia (China) Investment Co., Ltd.",0
"Nokia (China) Investment Co., Ltd.",0
HSBC Bank,1
"Beijing Chuangshi Wuxian Information Technology Co., Ltd.",1
"Beijing Universal Star Software Co., Ltd.",0
"Nokia (China) Investment Co., Ltd.",0
Agricultural Bank of China Shenzhen Branch,1
"Liuzhi Industrial and Mining (Group) Dahua Pharmaceutical Co., Ltd.",0
