name of the buyer,location of the buyer,if the buyer is a bank,the buyer's country,if the buyer is a chinese organization,Turnover,money,installment,paystyle,payment method
International Business Machines Corporation,,0,United States(US),0,225000000,225000000,0,2,One time payment
International Business Machines Corporation,,0,United States(US),0,231818000,231818000,0,2,One time payment
Wang Yue,Shanghai,0,People's Republic of China (CN),1,18000,18000,0,2,One time payment
"Beijing Gaodehaomen Network Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,178400,178400,0,2,One time payment
"Beijing Gaodehaomen Network Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,373600,373600,0,2,One time payment
"Beijing Gaodehaomen Network Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,532400,532400,0,2,One time payment
"Beijing Beidazhi Microsystem Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1037500,1037500,0,2,One time payment
Nokia Corporation,,,Finland(FI),0,1067973971,1067973971,1,1,Installment payment
Microsoft Corporation,,,United States(US),0,1032726105,1032726105,1,3,commission payment
Lucent Technologies,,,United States(US),1,646040000,646040000,1,3,commission payment
"Guangzhou Procter & Gamble Co., Ltd.",,,People's Republic of China (CN),0,587880000,587880000,1,3,commission payment
Langxun Technology Company,,,Country/region unknown,0,476352000,476352000,1,1,Installment payment
Nokia Corporation,,,Finland(FI),0,472333211,472333211,1,1,Installment payment
(PROCTER & GAMBLE COMPANY) Procter & Gamble USA,,,United States(US),0,420000000,420000000,1,3,commission payment
Lucent Technologies,,,United States(US),0,350244000,350244000,1,1,Installment payment
Lucent Technologies,,,United States(US),0,248400000,248400000,1,1,Installment payment
Lucent Technologies,,,People's Republic of China (CN),0,204681600,204681600,1,1,Installment payment
"LG Electronics Co., Ltd.",,,South Korea(KR),0,144173531,144173531,1,1,Installment payment
"South Korea Samsung Electronics Co., Ltd.",,,South Korea(KR),0,100110831,100110831,1,3,commission payment
"LG Electronics Co., Ltd.",,,South Korea(KR),0,81688000,81688000,1,1,Installment payment
Ericsson AB,,,Sweden(SE),0,81000024,81000024,1,1,Installment payment
Ericsson AB,,,Sweden(SE),0,75517329,75517329,1,1,Installment payment
Ericsson AB,,,Sweden(SE),0,54385709,54385709,1,1,Installment payment
"LG Electronics Co., Ltd.",,,South Korea(KR),0,49905186,49905186,1,1,Installment payment
Ericsson AB,,,Sweden(SE),0,45642723,45642723,1,1,Installment payment
Motorola Corporation of America,,,United States(US),0,41000000,41000000,1,3,commission payment
"Siemens International Trading (Shanghai) Co., Ltd.",,,People's Republic of China (CN),0,40000000,40000000,1,1,Installment payment
"Samsung Electronics Co., Ltd.",,,Country/region unknown,0,34885869,34885869,1,1,Installment payment
Nokia Networks,,,People's Republic of China (CN),0,34404235,34404235,1,1,Installment payment
Ericsson AB,,,Sweden(SE),0,34072164,34072164,1,1,Installment payment
STMicroelectronics NV,,,Netherlands(NL),0,25031996,25031996,1,1,Installment payment
Ericsson AB,,,Sweden(SE),0,24908000,24908000,1,1,Installment payment
"Wuhan NEC Mobile Communications Co., Ltd.",,,People's Republic of China (CN),0,24800000,24800000,1,3,commission payment
Ericsson AB(EAB),,,Sweden(SE),0,23851585,23851585,1,1,Installment payment
STMicroelectronics Asia Pacific (Private) Limited,,,Singapore(SG),0,23832336,23832336,1,1,Installment payment
Ericsson AB,,,Sweden(SE),0,23156734,23156734,1,1,Installment payment
SONY EMCS Minokamo Technology Center,,,Japan(JP),0,21580000,21580000,1,1,Installment payment
Schlumberger Ltd.,,,Country/region unknown,0,20750000,20750000,1,3,commission payment
o2Micro International LTD,,,United States(US),0,20249250,20249250,1,1,Installment payment
Ericsson AB,,,Sweden(SE),0,19763472,19763472,1,1,Installment payment
Ericsson AB(EAB),,,Sweden(SE),0,19621000,19621000,1,1,Installment payment
"Samsung Electronics Co., Ltd.",,,Country/region unknown,0,19040000,11420000,1,1,Installment payment
"Wuhan NEC Mobile Communications Co., Ltd.",,,People's Republic of China (CN),1,18772900,18772900,1,3,commission payment
"Nippon Electric Co., Ltd.",,,People's Republic of China (CN),1,18697081,18697081,1,1,Installment payment
Ericsson AB,,,Sweden(SE),0,17667797,17667797,1,1,Installment payment
Ericsson AB,,,Sweden(SE),0,16530610,16530610,1,1,Installment payment
Ericsson AB,,,Sweden(SE),0,16143219,16143219,1,1,Installment payment
AOMicrosystems International Corporation,,,United States(US),0,15775500,15775500,1,1,Installment payment
"LG Electronics Co., Ltd.",,,South Korea(KR),0,15770000,15770000,1,1,Installment payment
"LG Electronics Co., Ltd.",,,South Korea(KR),0,15600000,15600000,1,1,Installment payment
LG Electronics Corporation,,,Country/region unknown,0,15051133,15051133,1,1,Installment payment
Shenzhen Development Bank,,,People's Republic of China (CN),1,14720000,14720000,1,1,Installment payment
Toshiba Corporation,,,Japan(JP),1,14209600,14209600,1,1,Installment payment
"Samsung Electronics Co., Ltd. (SAIT)",,,South Korea(KR),0,14042148,8877220,1,3,commission payment
AOMicrosystems International Corporation,,,United States(US),0,13636425,13636425,1,1,Installment payment
"LG Electronics Co., Ltd.",,,Country/region unknown,0,13280000,13280000,1,1,Installment payment
"Siemens International Trading (Shanghai) Co., Ltd.",,,People's Republic of China (CN),0,13000000,13000000,1,1,Installment payment
"Hangzhou Starcom Communications Co., Ltd.",,,People's Republic of China (CN),1,12585600,12585600,1,3,commission payment
"LG Electronics Co., Ltd.",,,South Korea(KR),0,11758328,11758328,1,1,Installment payment
"Samsung Electronics Co., Ltd. (SAIT)",,,South Korea(KR),0,11562410,11562410,1,1,Installment payment
"Samsung Electronics Co., Ltd. (SAIT)",,,South Korea(KR),0,11562270,7304000,1,1,Installment payment
Ericsson AB,,,Poland(PL),0,10967400,10967400,1,1,Installment payment
Ericsson AB,,,Sweden(SE),0,10719931,10719931,1,1,Installment payment
"Guangdong Shenzhen Liangshun Automobile Information Technology Co., Ltd.",,,People's Republic of China (CN),1,9800000,9800000,1,1,Installment payment
Erisson AB,,,United States(US),0,9797176,9797176,1,1,Installment payment
Gemplus SA,,,France(FR),0,9460476,9460476,1,1,Installment payment
Gemplus SA,,,France(FR),0,9300742,9300742,1,1,Installment payment
Gemplus Technologies Asia Pte.Ltd,,,Singapore(SG),0,9197768,9197768,1,1,Installment payment
Gemplus Technologies Asia Pte.Ltd,,,Singapore(SG),0,9073677,9073677,1,1,Installment payment
Gemplus SA,,,France(FR),0,9037348,9037348,1,1,Installment payment
"Beijing Middle Eastern Inspection Information Technology Co., Ltd.",,,People's Republic of China (CN),0,8730000,8730000,1,1,Installment payment
Gemplus SA,,,France(FR),0,8499463,8499463,0,2,One time payment
Ericsson AB,,,United States(US),0,8199998,8199998,1,1,Installment payment
Gemplus Technologies Asia Pte.Ltd,,,Singapore(SG),0,8168588,8168588,1,1,Installment payment
"Beijing Zizhu Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,8000000,8000000,1,1,Installment payment
"LG Electronics Co., Ltd.",,,South Korea(KR),0,8000000,8000000,1,1,Installment payment
Ericsson AB,,,Sweden(SE),0,7947456,7947456,1,1,Installment payment
"Toshiba Medical Systems Co., Ltd.",,,Japan(JP),0,7154600,7154600,1,1,Installment payment
"LG Electronics Co., Ltd.",,,South Korea(KR),0,7055000,7055000,1,1,Installment payment
China Everbright Bank,,,People's Republic of China (CN),1,6380000,6380000,1,1,Installment payment
China Everbright Bank,,,People's Republic of China (CN),1,6380000,6380000,1,1,Installment payment
"Beijing CRRC Information Technology Co., Ltd.",,,People's Republic of China (CN),0,6280500,6280500,1,1,Installment payment
"Huawei Technologies Co., Ltd",,,People's Republic of China (CN),1,5800000,5800000,1,3,commission payment
"Beijing ABB High Voltage Switchgear Co., Ltd.",,,People's Republic of China (CN),1,5536383,5536383,1,3,commission payment
"LG Electronics Co., Ltd.",,,South Korea(KR),0,5533336,5533336,1,1,Installment payment
"Hangzhou Starcom Communications Co., Ltd.",,,People's Republic of China (CN),1,5500000,5500000,1,3,commission payment
AOMicrosystems International Corporation,,,Country/region unknown,0,5417775,5417775,1,1,Installment payment
Gemplus SA,,,France(FR),0,5311959,5311959,1,1,Installment payment
"Beijing CRRC Information Technology Co., Ltd.",,,People's Republic of China (CN),0,4870000,4870000,1,1,Installment payment
"Shenzhen Konka Communication Technology Co., Ltd.",,,People's Republic of China (CN),1,4750000,4750000,1,3,commission payment
"Samsung Electronics Co., Ltd. (South Korea)",,,Country/region unknown,0,4718517,4718517,1,1,Installment payment
AOMicrosystems International Corporation,,,United States(US),0,4700498,4700498,1,1,Installment payment
Gemplus Technologies Asia Pte.Ltd,,,Singapore(SG),0,4692771,4692771,1,1,Installment payment
"Hong Kong VIA Electronics Co., Ltd.",,,People's Republic of China (CN),0,4552130,4552130,0,2,One time payment
"Wuhan Renfu Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,4500000,4500000,1,1,Installment payment
"Shenzhen Konka Communication Technology Co., Ltd.",,,People's Republic of China (CN),1,4500000,4500000,1,3,commission payment
Japan Sony Corporation,,,Country/region unknown,0,4266016,4266016,1,1,Installment payment
"Shenzhen Sangfei Consumer Communications Co., Ltd.",,,People's Republic of China (CN),1,4200000,4200000,1,1,Installment payment
"Beijing Zizhu Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,4000000,4000000,1,1,Installment payment
"Beijing Zizhu Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,4000000,4000000,1,1,Installment payment
Beijing Wanhui Pharmaceutical Group,,,People's Republic of China (CN),1,4000000,4000000,1,1,Installment payment
"China Electronics Communications Technology Co., Ltd.",,,People's Republic of China (CN),1,4000000,4000000,1,3,commission payment
"Qingdao Hisense Communications Co., Ltd.",,,People's Republic of China (CN),1,4000000,4000000,1,3,commission payment
"Gansu Mobile Communications Co., Ltd.",,,People's Republic of China (CN),1,3980000,3980000,1,1,Installment payment
Shenzhen Development Bank,,,People's Republic of China (CN),0,3900000,3900000,1,1,Installment payment
Nanhai Rural Credit Cooperative,,,People's Republic of China (CN),0,3818881,3620881,0,2,One time payment
"Beijing Universal Star Software Co., Ltd.",,,People's Republic of China (CN),1,3612708,3612708,1,3,commission payment
"Century Information Technology Co., Ltd.",,,Japan(JP),1,3550000,3550000,0,2,One time payment
"Yongxin Pharmaceutical Industry (Kunshan) Co., Ltd.",,,People's Republic of China (CN),1,3500000,3500000,1,1,Installment payment
"Beijing Peking University Weixin Biotechnology Co., Ltd.",,,People's Republic of China (CN),1,3500000,3500000,1,1,Installment payment
Honeywell Automation and Control Laboratory,,,United States(US),1,3360000,3360000,1,1,Installment payment
Guangdong Development Bank,,,People's Republic of China (CN),0,3311940,3311940,1,1,Installment payment
"Shenzhen Konka Communication Technology Co., Ltd.",,,People's Republic of China (CN),1,3250000,3250000,1,3,commission payment
"Panasonic Electric Industrial Co., Ltd. Overseas Promotion Center",,,People's Republic of China (CN),0,3168320,3168320,1,1,Installment payment
"Shenzhen Konka Communication Technology Co., Ltd.",,,People's Republic of China (CN),1,3150000,3150000,1,3,commission payment
"Allion Computer Co., Ltd.",,,People's Republic of China (CN),0,3103725,3103725,0,2,One time payment
"Beijing Donghai Huzhong Technology Co., Ltd.",,,People's Republic of China (CN),1,3072000,3072000,1,1,Installment payment
"Beijing Shuanglu Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,3004000,3004000,1,1,Installment payment
"Jiangxi Jiangzhong Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,3000000,3000000,1,1,Installment payment
"Huizhou Qiaoxing Telecommunications Industry Co., Ltd.",,,People's Republic of China (CN),1,3000000,3000000,1,1,Installment payment
"China Electronics Communications Technology Co., Ltd.",,,People's Republic of China (CN),1,3000000,3000000,1,3,commission payment
"Nokia (China) Investment Co., Ltd.",,,People's Republic of China (CN),0,2926699,2926699,1,1,Installment payment
"Jilin Tonghua Zhenguo Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,2900000,2900000,1,1,Installment payment
"Beijing Shuanglu Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,2880000,2880000,1,1,Installment payment
"Guangzhou Southern Hi-Tech Co., Ltd.",,,People's Republic of China (CN),1,2880000,2880000,1,3,commission payment
"Japan Century Information Technology Co., Ltd.",,,Japan(JP),1,2840860,2840860,0,2,One time payment
"Beijing Guoke Hualong Information Technology Co., Ltd.",,,People's Republic of China (CN),0,2835000,2835000,1,3,commission payment
"BD&C Bit Lianchuang (Hong Kong) Co., Ltd.",,,People's Republic of China (CN),0,2802199,2802199,1,3,commission payment
"Beijing SECCO Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,2800000,2800000,1,1,Installment payment
ERICSSON AB (EAB),,,Sweden(SE),0,2795586,2795586,1,1,Installment payment
"Shijiazhuang Pharmaceutical Group Co., Ltd.",,,People's Republic of China (CN),1,2780000,2780000,1,1,Installment payment
"Nokia (China) Investment Co., Ltd.",,,People's Republic of China (CN),0,2717649,2717649,1,1,Installment payment
"Beijing Shuanglu Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,2688000,2688000,1,1,Installment payment
"Nokia (China) Investment Co., Ltd.",,,People's Republic of China (CN),0,2685554,2685554,1,1,Installment payment
"Nokia (China) Investment Co., Ltd.",,,People's Republic of China (CN),0,2659531,2659531,1,1,Installment payment
"Nokia (China) Investment Co., Ltd.",,,People's Republic of China (CN),0,2602281,2602281,1,1,Installment payment
"Leshan Sanjiu Long March Co., Ltd.",,,People's Republic of China (CN),1,2600000,2600000,1,1,Installment payment
"Beijing SECCO Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,2600000,2600000,1,1,Installment payment
"China Electronics Communications Technology Co., Ltd.",,,People's Republic of China (CN),1,2600000,2600000,1,3,commission payment
"Bank of Communications Co., Ltd.",,,People's Republic of China (CN),1,2580000,2580000,1,1,Installment payment
"Motorola (China) Electronics Co., Ltd.",,,People's Republic of China (CN),0,2567500,2567500,1,1,Installment payment
"Nokia (China) Investment Co., Ltd.",,,People's Republic of China (CN),0,2515145,2515145,1,1,Installment payment
"Beijing SECCO Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,2500000,2500000,1,1,Installment payment
"Hainan Pioneer Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,2500000,2500000,1,1,Installment payment
"Huizhou Qiaoxing Telecommunications Industry Co., Ltd.",,,People's Republic of China (CN),1,2500000,2500000,1,3,commission payment
"Guangzhou Southern Hi-Tech Co., Ltd.",,,People's Republic of China (CN),1,2500000,2500000,1,3,commission payment
"Pioneer Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,2500000,2500000,1,1,Installment payment
"Hong Kong VIA Electronics Co., Ltd.",,,People's Republic of China (CN),0,2483160,2483160,0,2,One time payment
Ericsson AB,,,Sweden(SE),0,2430734,2430734,1,1,Installment payment
"Century Information Technology Co., Ltd.",,,Country/region unknown,0,2409696,2409696,0,2,One time payment
"Nokia (China) Investment Co., Ltd.",,,People's Republic of China (CN),0,2386607,2386607,1,1,Installment payment
"Tianjin Zhongtianyuan Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,2380000,2380000,1,1,Installment payment
"Hubei Sibao Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,2300000,2300000,1,1,Installment payment
"Guangzhou Southern Hi-Tech Co., Ltd.",,,People's Republic of China (CN),1,2300000,2300000,1,3,commission payment
"Toshiba Mobile Communications Co., Ltd.",,,Japan(JP),0,2257600,2257600,1,1,Installment payment
"Jiangsu Huanghai Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,2250000,2250000,1,1,Installment payment
"Sichuan Baili Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,2200000,2200000,1,1,Installment payment
"Sichuan Xinston Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,2200000,2200000,1,1,Installment payment
"Bank of Communications Co., Ltd.",,,People's Republic of China (CN),1,2200000,2200000,1,1,Installment payment
"China Mobile Communications Group Shanghai Co., Ltd.",,,People's Republic of China (CN),0,2160000,2160000,1,1,Installment payment
"Nokia (China) Investment Co., Ltd.",,,People's Republic of China (CN),0,2148184,2148184,1,1,Installment payment
"Bank of China Limited, Macau Branch",,,People's Republic of China (CN),1,2118969,2118969,1,1,Installment payment
"Shijiazhuang Pharmaceutical Group Co., Ltd.",,,People's Republic of China (CN),1,2100000,2100000,1,1,Installment payment
"Shijiazhuang Pharmaceutical Group Co., Ltd.",,,People's Republic of China (CN),1,2100000,2100000,1,1,Installment payment
"Jiangsu Yangzijiang Pharmaceutical Group Co., Ltd.",,,People's Republic of China (CN),1,2080000,2080000,1,1,Installment payment
"Daewoo Information Co., Ltd.",,,People's Republic of China (CN),0,2069300,2069300,1,1,Installment payment
"China Mobile Communications Group Shanghai Co., Ltd.",,,People's Republic of China (CN),0,2060000,2060000,1,1,Installment payment
"Hubei Sibao Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,2000000,2000000,1,1,Installment payment
Shenzhen Development Bank,,,People's Republic of China (CN),0,2000000,2000000,1,1,Installment payment
"Chengdu Beite Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,2000000,2000000,1,1,Installment payment
"Beijing Zizhu Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,2000000,2000000,1,1,Installment payment
"Sichuan Xinston Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,2000000,2000000,1,1,Installment payment
"Shandong Continental Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,2000000,2000000,1,1,Installment payment
"Dalian Daxian Communications Co., Ltd.",,,People's Republic of China (CN),1,2000000,2000000,1,3,commission payment
"Pioneer Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,2000000,2000000,1,1,Installment payment
"Yunnan Wanyu Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,2000000,2000000,1,1,Installment payment
"BD&C Bit Lianchuang (Hong Kong) Co., Ltd.",,,People's Republic of China (CN),0,1974386,1974386,1,3,commission payment
"Liaoning Mobile Communications Co., Ltd.",,,People's Republic of China (CN),1,1971728,1971728,1,1,Installment payment
Guangdong Development Bank,,,People's Republic of China (CN),0,1968750,1968750,1,1,Installment payment
"China Mobile Communications Group Shanghai Co., Ltd.",,,People's Republic of China (CN),0,1920000,1920000,1,1,Installment payment
"BD&C Bit Lianchuang (Hong Kong) Co., Ltd.",,,People's Republic of China (CN),0,1904296,1904296,1,3,commission payment
"Shijiazhuang Pharmaceutical Group Co., Ltd.",,,People's Republic of China (CN),1,1900000,1900000,1,1,Installment payment
"Xuzhou Enhua Pharmaceutical Group Co., Ltd.",,,People's Republic of China (CN),1,1900000,1900000,1,1,Installment payment
"Qingdao Guofeng Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,1900000,1900000,1,1,Installment payment
"Qingdao Guofeng Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,1900000,1900000,1,1,Installment payment
China Mobile Communications Group Corporation,,,People's Republic of China (CN),1,1900000,1900000,1,1,Installment payment
Inner Mongolia Mobile Communications Company,,,People's Republic of China (CN),1,1900000,1900000,1,1,Installment payment
"Beijing Universal Star Software Co., Ltd.",,,People's Republic of China (CN),0,1861798,1861798,1,3,commission payment
"China HP Co., Ltd.",,,People's Republic of China (CN),0,1856960,1856960,1,1,Installment payment
"Panasonic Electric Works INFORMATION SYSTEM Co., Ltd.",,,Japan(JP),0,1820000,1820000,1,1,Installment payment
Guangdong Development Bank,,,People's Republic of China (CN),1,1817200,1817200,1,1,Installment payment
"Guizhou Pharmaceutical (Group) Co., Ltd.",,,People's Republic of China (CN),1,1800000,1800000,1,1,Installment payment
"Guizhou Gute Bioengineering Co., Ltd.",,,People's Republic of China (CN),1,1800000,1800000,1,1,Installment payment
"Sichuan Baili Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,1800000,1800000,1,1,Installment payment
"Xuzhou Enhua Pharmaceutical Group Co., Ltd.",,,People's Republic of China (CN),1,1800000,1800000,1,1,Installment payment
"Hainan Kangli Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,1800000,1800000,1,1,Installment payment
"Tianjin Zhongxin Pharmaceutical Group Co., Ltd. Sixth Traditional Chinese Medicine Factory",,,People's Republic of China (CN),1,1800000,1800000,1,1,Installment payment
Ministry of Foreign Affairs Information Work Leading Group,,,People's Republic of China (CN),0,1780000,1780000,1,1,Installment payment
"Guizhou Xinbang Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,1750000,1750000,1,1,Installment payment
Shanghai Pudong Development Bank,,,People's Republic of China (CN),0,1750000,1750000,1,1,Installment payment
"Beijing Shuanglu Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,1740000,1740000,1,1,Installment payment
"Beijing Shuanglu Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,1728000,1728000,1,1,Installment payment
"Dezhou Haishan Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,1700000,1700000,1,1,Installment payment
"Wuhan Handu Technology Co., Ltd.",,,People's Republic of China (CN),1,1700000,1700000,1,1,Installment payment
"Bank of Communications Co., Ltd.",,,People's Republic of China (CN),1,1700000,1700000,1,1,Installment payment
Bank of China Beijing Branch,,,People's Republic of China (CN),1,1682100,1682100,0,2,One time payment
Ericsson AB,,,Sweden(SE),0,1646554,1646554,1,1,Installment payment
"Bitlink (Hong Kong) Co., Ltd.",,,People's Republic of China (CN),0,1620570,1620570,1,3,commission payment
"Nokia (China) Investment Co., Ltd.",,,People's Republic of China (CN),0,1620202,1620202,1,1,Installment payment
Honeywell Process Industries,,,Canada(CA),0,1604980,1604980,1,1,Installment payment
"Jilin Xidian Pharmaceutical Technology Development Co., Ltd.",,,People's Republic of China (CN),1,1600000,1600000,1,1,Installment payment
"Hubei Guangji Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,1600000,1600000,1,1,Installment payment
"Beijing Shuanglu Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,1500000,1500000,1,1,Installment payment
"Shanghai Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,1500000,1500000,1,1,Installment payment
"Beijing Qibaitong Technology Co., Ltd.",,,People's Republic of China (CN),1,1500000,1500000,1,1,Installment payment
"Dalian Tianyu Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,1500000,1500000,1,1,Installment payment
"Sichuan Xinston Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,1500000,1500000,1,1,Installment payment
"Guangdong Nuojin Medical Appointment Co., Ltd.",,,People's Republic of China (CN),1,1500000,1500000,1,1,Installment payment
"Kunming Bangyu Pharmaceutical Technology Co., Ltd.",,,People's Republic of China (CN),1,1500000,1500000,1,1,Installment payment
China International Airlines,,,People's Republic of China (CN),1,1500000,1500000,1,1,Installment payment
China International Airlines,,,People's Republic of China (CN),1,1500000,1500000,1,1,Installment payment
"Liyang Co., Ltd. (Japan)",,,Japan(JP),0,1500000,1500000,0,2,One time payment
Changshu Rural Commercial Bank,,,People's Republic of China (CN),1,1488526,1488526,1,1,Installment payment
"Beijing Guoke Hualong Information Technology Co., Ltd.",,,People's Republic of China (CN),1,1450009,1450009,1,3,commission payment
"Beijing Panasonic Color Picture Tube Co., Ltd.",,,People's Republic of China (CN),0,1431150,1431150,1,1,Installment payment
"Shandong Lufu Pharmaceutical Group Co., Ltd.",,,People's Republic of China (CN),1,1420000,1420000,1,1,Installment payment
"Game Paradise Electronic Technology (Beijing) Co., Ltd.",,,People's Republic of China (CN),0,1412100,1412100,1,3,commission payment
"Shandong Continental Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,1400000,1400000,1,1,Installment payment
"Japan Century Information Technology Co., Ltd.",,,Japan(JP),1,1400000,1400000,0,2,One time payment
"Japan Century Information Technology Co., Ltd.",,,Japan(JP),1,1400000,1400000,0,2,One time payment
"China Mobile Communications Group Shanghai Co., Ltd.",,,People's Republic of China (CN),0,1390000,1390000,1,1,Installment payment
"Beijing Jinyuan Computer Technology Co., Ltd.",,,People's Republic of China (CN),1,1367294,1367294,1,3,commission payment
"Beijing SECCO Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,1360000,1360000,1,1,Installment payment
"Shanxi Jinhua Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,1350000,1350000,1,1,Installment payment
"Century Information Technology Co., Ltd.",,,Japan(JP),1,1346635,1346635,0,2,One time payment
"Daewoo Information Co., Ltd.",,,People's Republic of China (CN),1,1345096,1345096,1,1,Installment payment
VENTURZ PHARM INC.,,,People's Republic of China (CN),0,1328300,1328300,1,1,Installment payment
"Shanghai Pudong Development Bank Co., Ltd.",,,People's Republic of China (CN),1,1320000,1320000,1,1,Installment payment
"Bengbu Fengyuan Pharmaceutical Technology Co., Ltd.",,,People's Republic of China (CN),1,1300000,1300000,1,1,Installment payment
"Beijing Softfa Technology Co., Ltd.",,,People's Republic of China (CN),1,1300000,1300000,1,1,Installment payment
"Guizhou Xinbang Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,1300000,1300000,1,1,Installment payment
"Jiangsu Zhengda Fenghai Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,1300000,1300000,1,1,Installment payment
"Jiangsu Zhengda Fenghai Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,1300000,1300000,1,1,Installment payment
"Bitlink (Hong Kong) Co., Ltd.",,,People's Republic of China (CN),1,1294700,1294700,1,3,commission payment
"Santak Electronics (Shenzhen) Co., Ltd.",,,People's Republic of China (CN),1,1278766,1278766,1,1,Installment payment
Shenzhen Federation of Rural Credit Cooperatives,,,People's Republic of China (CN),1,1224000,1224000,1,1,Installment payment
"Japan Century Information Technology Co., Ltd.",,,Japan(JP),1,1220000,1220000,0,2,One time payment
"Game Paradise Electronic Technology (Beijing) Co., Ltd.",,,People's Republic of China (CN),0,1207500,1207500,1,3,commission payment
"Qingdao Guofeng Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,1200000,1200000,1,1,Installment payment
"Chongqing Sano Biopharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,1200000,1200000,1,1,Installment payment
"Beijing Shuanghe Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,1200000,1200000,1,1,Installment payment
"Shanghai Yutong Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,1200000,1200000,1,1,Installment payment
"Tianjin Zhongxin Pharmaceutical Group Co., Ltd. Sixth Traditional Chinese Medicine Factory",,,People's Republic of China (CN),1,1200000,1200000,1,1,Installment payment
"Shandong Grandbaike Biopharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,1200000,1200000,1,1,Installment payment
"China HP Co., Ltd.",,,People's Republic of China (CN),0,1168890,1168890,1,1,Installment payment
Honeywell International Ltd.,,,Singapore(SG),0,1157792,1157792,1,1,Installment payment
Ericsson AB,,,Sweden(SE),0,1149242,1149242,1,1,Installment payment
"Beijing Universal Star Software Co., Ltd.",,,People's Republic of China (CN),0,1139587,1139587,1,3,commission payment
"Japan Century Information Technology Co., Ltd.",,,Japan(JP),1,1130000,1130000,1,1,Installment payment
Ericsson AB,,,Sweden(SE),0,1129445,1129445,1,1,Installment payment
Bank of China Beijing Branch,,,People's Republic of China (CN),1,1128000,1128000,0,2,One time payment
"Hongbai Technology Co., Ltd.",,,People's Republic of China (CN),0,1120000,1120000,0,2,One time payment
Logistics information management system for grain warehouse in western suburbs of Beijing,,,People's Republic of China (CN),1,1100000,1100000,1,1,Installment payment
"Hainan Kangli Pharmaceutical Technology Co., Ltd.",,,People's Republic of China (CN),1,1100000,1100000,1,1,Installment payment
"Shandong Grandbaike Biopharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,1100000,1100000,1,1,Installment payment
Guangdong Development Bank,,,People's Republic of China (CN),1,1098000,1098000,1,1,Installment payment
Bank of China Beijing Branch,,,People's Republic of China (CN),1,1070000,1070000,1,1,Installment payment
