time,amount,internalization,outsourcing,if the sitting date time after 2006,if the buyer is a bank,export,export to OECD,if the buyer is a chinese organization,classification of the buyer,Seller Category B,if the seller is a wholly foreign-owned company,if the seller is a wholly chinese company, if the buyer is a joint venture,classification of the seller,if the seller belongs to IT industry,Technical field B,if the outcome is a patent,if the outcome is a know-hnw,if the outcome with no IP,knowstyle,Intellectual property B,if the project is a R&D mission, if the project is a technical consultation,it the project is an IP exchange,classification of the contract,Contract type B,socioeconomic goals,Turnover,money,installment,paystyle,payment method,Is the seller a central institution in Beijing?,Is it an intermediary service organization?,Transformed enterprise
211d,5,0,1,1,0,0,0,0,5,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,40000,40000,0,2,One time payment,no,no,no
364d,3,0,1,1,0,0,0,0,5,foreign-invested enterprises,1,0,0,2,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,infrastructure development,40000,40000,0,2,One time payment,no,no,no
30d,1,0,1,1,0,0,0,0,5,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,40000,40000,0,2,One time payment,no,no,no
149d,47,0,1,1,0,0,0,0,5,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,44000,44000,0,2,One time payment,no,no,no
184d,47,0,1,1,0,0,0,0,5,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,44000,44000,0,2,One time payment,no,no,no
224d,6,0,1,1,0,0,0,0,5,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,44101,44101,0,2,One time payment,no,no,no
231d,2,0,1,1,0,0,0,0,5,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,45000,45000,0,2,One time payment,no,no,no
224d,6,0,1,1,0,0,0,0,5,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,45643,45643,0,2,One time payment,no,no,no
121d,47,0,1,1,0,0,0,0,5,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,46000,46000,0,2,One time payment,no,no,no
91d,47,0,1,1,0,0,0,0,5,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,48000,48000,0,2,One time payment,no,no,no
213d,47,0,1,1,0,0,0,0,5,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,51440,51440,0,2,One time payment,no,no,no
179d,47,0,1,1,0,0,0,0,5,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,60000,60000,0,2,One time payment,no,no,no
180d,3,0,1,1,0,0,0,0,5,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,60000,60000,0,2,One time payment,no,no,no
123d,47,0,1,1,0,0,0,0,5,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,65000,65000,0,2,One time payment,no,no,no
274d,47,0,1,1,0,0,0,0,5,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,66000,66000,0,2,One time payment,no,no,no
275d,47,0,1,1,0,0,0,0,5,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,70000,70000,0,2,One time payment,no,no,no
243d,47,0,1,1,0,0,0,0,5,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,70000,70000,0,2,One time payment,no,no,no
165d,4,0,1,1,0,0,0,0,5,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,72600,72600,0,2,One time payment,no,no,no
187d,5,0,1,1,0,0,0,0,5,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,75000,75000,0,2,One time payment,no,no,no
296d,4,0,1,1,0,0,0,0,5,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,87750,87750,0,2,One time payment,no,no,no
150d,47,0,1,1,0,0,0,0,5,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,88000,88000,0,2,One time payment,no,no,no
211d,47,0,1,1,0,0,0,0,5,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,88000,88000,0,2,One time payment,no,no,no
180d,47,0,1,1,0,0,0,0,5,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,88000,88000,0,2,One time payment,no,no,no
91d,47,0,1,1,0,0,0,0,5,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,90200,90200,0,2,One time payment,no,no,no
213d,1,0,1,1,0,0,0,0,5,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,99350,99350,0,2,One time payment,no,no,no
29d,3,0,1,1,0,0,0,0,5,foreign-invested enterprises,0,0,1,3,1,computer network,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,100000,100000,0,2,One time payment,no,no,no
209d,47,0,1,1,0,0,0,0,5,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,104500,104500,0,2,One time payment,no,no,no
152d,47,0,1,1,0,0,0,0,5,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,105000,105000,0,2,One time payment,no,no,no
156d,47,0,1,1,0,0,0,0,5,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,108000,108000,0,2,One time payment,no,no,no
364d,2,0,1,1,0,0,0,0,5,foreign-invested enterprises,0,0,1,1,1,computer software,0,1,0,3,technical secrets,0,1,0,1,General technical services,other,120000,120000,1,3,commission payment,no,no,no
156d,47,0,1,1,0,0,0,0,5,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,125650,125650,0,2,One time payment,no,no,no
180d,47,0,1,1,0,0,0,0,5,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,130000,130000,0,2,One time payment,no,no,no
211d,47,0,1,1,0,0,0,0,5,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,140000,140000,0,2,One time payment,no,no,no
924d,6,0,1,1,0,0,0,0,5,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,144000,144000,1,1,Installment payment,no,no,no
91d,47,0,1,1,0,0,0,0,5,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,154000,154000,0,2,One time payment,no,no,no
287d,4,0,1,1,0,0,0,0,5,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,168900,168900,0,2,One time payment,no,no,no
156d,47,0,1,1,0,0,0,0,5,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,198450,198450,0,2,One time payment,no,no,no
258d,4,0,1,1,0,0,0,0,5,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,211360,211360,0,2,One time payment,no,no,no
174d,47,0,1,1,0,0,0,0,5,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,227850,227850,0,2,One time payment,no,no,no
162d,3,0,1,1,1,0,0,0,5,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,0,1,0,1,General technical services,social development and social services,300000,300000,1,1,Installment payment,no,no,no
212d,3,0,1,1,1,0,0,0,5,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,300000,300000,1,1,Installment payment,no,no,no
128d,1,0,1,1,0,0,0,0,5,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,314648,314648,0,2,One time payment,no,no,no
366d,2,0,1,1,0,0,0,0,5,foreign-invested enterprises,1,0,0,2,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,civil space,330000,330000,1,1,Installment payment,no,no,no
151d,2,1,0,1,0,0,0,0,5,foreign-invested enterprises,0,0,1,3,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,other,382108,382108,0,2,One time payment,no,no,no
729d,1,0,1,1,0,0,0,0,5,foreign-invested enterprises,0,0,1,1,1,computer software,0,1,0,3,technical secrets,0,1,0,1,General technical services,infrastructure development,400000,400000,1,3,commission payment,no,no,no
150d,2,1,0,1,0,0,0,0,5,foreign-invested enterprises,0,0,1,3,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,other,469100,469100,1,1,Installment payment,no,no,no
213d,2,0,1,1,0,0,0,0,5,foreign-invested enterprises,0,0,1,1,1,computer software,0,1,0,3,technical secrets,0,1,0,1,General technical services,infrastructure development,492000,492000,1,3,commission payment,no,no,no
122d,1,1,0,1,0,0,0,0,5,foreign-invested enterprises,1,0,0,2,1,other,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,570000,570000,0,2,One time payment,,,no
151d,2,1,0,1,0,1,1,0,5,foreign-invested enterprises,0,0,1,3,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,development of knowledge,661960,661960,1,3,commission payment,no,no,no
364d,3,0,1,1,1,0,0,0,5,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,720000,720000,1,1,Installment payment,no,no,no
119d,1,1,0,1,0,0,0,0,5,foreign-invested enterprises,1,0,0,2,1,other,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,860000,860000,0,2,One time payment,,,no
730d,2,0,1,1,0,0,0,0,5,foreign-invested enterprises,0,0,1,3,1,computer software,1,0,0,2,computer software,1,0,0,2,cooperative development,social development and social services,880000,880000,1,1,Installment payment,no,no,no
180d,13,0,1,1,1,0,0,0,5,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,930000,930000,1,1,Installment payment,no,no,no
162d,3,0,1,1,1,0,0,0,5,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1126000,1126000,1,1,Installment payment,no,no,no
454d,3,0,1,1,0,0,0,0,5,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,cooperative development,other,1383672,1383672,1,1,Installment payment,no,no,no
31d,4,1,0,1,0,1,1,0,5,foreign-invested enterprises,0,0,1,3,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1409958,1409958,0,2,One time payment,no,no,no
18d,1,0,1,0,0,0,0,0,5,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,0,0,1,3,Computer software copyright transfer,infrastructure development,1500000,1500000,0,2,One time payment,no,no,no
122d,3,0,1,1,0,0,0,0,5,foreign-invested enterprises,0,0,1,3,1,computer network,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,1606658.45,1606658.45,1,1,Installment payment,no,no,no
492d,3,0,1,1,1,0,0,0,5,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1870000,1870000,1,1,Installment payment,no,no,no
274d,3,0,1,1,0,0,0,0,5,foreign-invested enterprises,1,0,0,2,1,other,1,0,0,2,computer software,0,0,1,3,Computer software copyright transfer,Promote industrial development,1936517.5,1936517.5,0,2,One time payment,no,no,no
661d,3,0,1,1,1,0,0,0,5,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,2100000,2100000,1,1,Installment payment,no,no,no
679d,2,1,0,1,0,1,1,0,5,foreign-invested enterprises,0,0,1,3,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,development of knowledge,2700000,2700000,1,3,commission payment,no,no,no
454d,3,0,1,1,0,0,0,0,5,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,other,3005848,3005848,1,1,Installment payment,no,no,no
661d,3,0,1,1,1,0,0,0,5,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,3749000,3749000,1,1,Installment payment,no,no,no
638d,2,0,1,1,0,0,0,0,5,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,5300000,5300000,1,1,Installment payment,no,no,no
374d,2,1,0,1,0,1,1,0,5,foreign-invested enterprises,1,0,0,2,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,other,5723632.86,5723632.86,1,1,Installment payment,,,no
395d,2,1,0,1,0,1,1,0,5,foreign-invested enterprises,1,0,0,2,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,other,6172327.7,6172327.7,1,1,Installment payment,,,no
456d,1,0,1,1,0,0,0,0,5,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,social development and social services,6350000,6350000,1,1,Installment payment,no,no,no
305d,1,1,0,1,0,0,0,0,5,foreign-invested enterprises,0,0,1,3,0,computer software,1,0,0,2,computer software,0,1,0,1,General technical services,development of knowledge,9000000,9000000,1,1,Installment payment,no,no,no
282d,19,1,0,1,0,0,0,0,5,foreign-invested enterprises,0,0,1,3,0,"Microelectronics, optoelectronics technology",1,0,0,2,Patent,1,0,0,2,Commissioned development,civil space,9306720,9306720,1,1,Installment payment,no,no,no
305d,5,0,1,1,0,0,0,0,5,foreign-invested enterprises,0,0,1,3,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,other,13000000,13000000,1,1,Installment payment,no,no,no
333d,5,0,1,1,0,0,0,0,5,foreign-invested enterprises,0,0,1,3,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,other,18300000,18300000,1,1,Installment payment,no,no,no
730d,1,0,1,1,0,0,0,0,5,foreign-invested enterprises,0,0,1,1,0,Medical technology,0,1,0,3,technical secrets,0,0,1,3,Transfer of technical secrets,social development and social services,19500000,19500000,0,2,One time payment,no,no,no
364d,9,1,0,1,0,1,1,0,5,foreign-invested enterprises,1,0,0,2,0,computer software,0,1,0,3,technical secrets,1,0,0,2,Commissioned development,social development and social services,225000000,225000000,0,2,One time payment,no,no,no
365d,9,1,0,1,0,1,1,0,5,foreign-invested enterprises,1,0,0,2,0,computer software,0,1,0,3,technical secrets,1,0,0,2,Commissioned development,social development and social services,231818000,231818000,0,2,One time payment,no,no,no
31d,1,0,1,1,0,0,0,1,6,foreign-invested enterprises,0,0,1,3,1,computer network,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,18000,18000,0,2,One time payment,no,no,no
120d,3,1,0,1,0,0,0,1,6,foreign-invested enterprises,1,0,0,2,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,178400,178400,0,2,One time payment,no,no,no
181d,3,1,0,1,0,0,0,1,6,foreign-invested enterprises,1,0,0,2,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,373600,373600,0,2,One time payment,no,no,no
211d,3,1,0,1,0,0,0,1,6,foreign-invested enterprises,1,0,0,2,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,532400,532400,0,2,One time payment,no,no,no
92d,1,0,1,1,0,0,0,1,6,foreign-invested enterprises,0,0,1,3,0,communication technology,1,0,0,2,Integrated circuit layout design,1,0,0,2,Commissioned development,other,1037500,1037500,0,2,One time payment,no,no,no
7305d,,1,0,0,,1,1,0,5,foreign-invested enterprises,0,0,1,3,1,communication technology,0,1,0,3,,1,0,0,2,,,1067973971,1067973971,1,1,Installment payment,,,
3652d,,1,0,1,,1,1,0,3,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,,1,0,0,2,Commissioned development,,1032726105,1032726105,1,3,commission payment,,,
729d,,0,1,1,,1,1,1,4,foreign-invested enterprises,1,0,0,2,1,communication technology,0,1,0,3,,1,0,0,2,Commissioned development,,646040000,646040000,1,3,commission payment,,,
1827d,,1,0,0,,0,0,0,5,foreign-invested enterprises,1,0,0,2,0,,0,1,0,3,,1,0,0,2,,,587880000,587880000,1,3,commission payment,,,
545d,,1,0,0,,1,0,0,3,foreign-invested enterprises,1,0,0,2,1,communication technology,0,1,0,3,,1,0,0,2,,,476352000,476352000,1,1,Installment payment,,,
7305d,,1,0,0,,1,1,0,3,foreign-invested enterprises,0,0,1,3,1,communication technology,0,1,0,3,,1,0,0,2,Commissioned development,,472333211,472333211,1,1,Installment payment,,,
1826d,,1,0,0,,1,1,0,3,foreign-invested enterprises,1,0,0,2,0,,0,1,0,3,,1,0,0,2,,,420000000,420000000,1,3,commission payment,,,
548d,,1,0,0,,1,1,0,3,foreign-invested enterprises,1,0,0,2,1,communication technology,0,1,0,3,,1,0,0,2,,,350244000,350244000,1,1,Installment payment,,,
365d,,1,0,0,,1,1,0,3,foreign-invested enterprises,1,0,0,2,1,communication technology,0,1,0,3,,1,0,0,2,,,248400000,248400000,1,1,Installment payment,,,
396d,,1,0,0,,0,0,0,3,foreign-invested enterprises,1,0,0,2,1,computer software,0,1,0,3,,1,0,0,2,,,204681600,204681600,1,1,Installment payment,,,
364d,,1,0,0,,1,1,0,3,foreign-invested enterprises,1,0,0,2,1,communication technology,0,1,0,3,,1,0,0,2,,,144173531,144173531,1,1,Installment payment,,,
364d,,1,0,1,,1,1,0,3,foreign-invested enterprises,0,0,1,3,1,communication technology,0,1,0,3,,1,0,0,2,Commissioned development,,100110831,100110831,1,3,commission payment,,,
364d,,1,0,1,,1,1,0,3,foreign-invested enterprises,1,0,0,2,1,communication technology,0,1,0,3,,1,0,0,2,Commissioned development,,81688000,81688000,1,1,Installment payment,,,
760d,,1,0,1,,1,1,0,5,foreign-invested enterprises,0,0,1,3,1,communication technology,0,1,0,3,,1,0,0,2,Commissioned development,,81000024,81000024,1,1,Installment payment,,,
364d,,1,0,1,,1,1,0,5,foreign-invested enterprises,0,0,1,3,1,communication technology,0,1,0,3,,1,0,0,2,Commissioned development,,75517329,75517329,1,1,Installment payment,,,
638d,,1,0,1,,1,1,0,5,foreign-invested enterprises,0,0,1,3,1,communication technology,0,1,0,3,,1,0,0,2,Commissioned development,,54385709,54385709,1,1,Installment payment,,,
365d,,1,0,0,,1,1,0,3,foreign-invested enterprises,1,0,0,2,1,communication technology,0,1,0,3,,1,0,0,2,,,49905186,49905186,1,1,Installment payment,,,
364d,,1,0,1,,1,1,0,5,foreign-invested enterprises,0,0,1,3,1,communication technology,0,1,0,3,,1,0,0,2,Commissioned development,,45642723,45642723,1,1,Installment payment,,,
1825d,,1,0,0,,1,1,0,3,foreign-invested enterprises,1,0,0,2,1,communication technology,0,1,0,3,,1,0,0,2,,,41000000,41000000,1,3,commission payment,,,
364d,,1,0,1,,0,0,0,5,foreign-invested enterprises,0,0,1,3,1,communication technology,0,1,0,3,,1,0,0,2,Commissioned development,,40000000,40000000,1,1,Installment payment,,,
364d,,1,0,0,,1,0,0,3,foreign-invested enterprises,0,0,1,3,1,communication technology,0,1,0,3,,1,0,0,2,,,34885869,34885869,1,1,Installment payment,,,
1277d,,1,0,0,,0,0,0,3,foreign-invested enterprises,1,0,0,2,1,communication technology,0,1,0,3,,1,0,0,2,,,34404235,34404235,1,1,Installment payment,,,
304d,,1,0,0,,1,1,0,3,foreign-invested enterprises,0,0,1,3,1,communication technology,0,1,0,3,,1,0,0,2,,,34072164,34072164,1,1,Installment payment,,,
609d,,1,0,0,,1,1,0,3,foreign-invested enterprises,0,0,1,1,1,Electronic information and semiconductor materials,0,1,0,3,,1,0,0,2,,,25031996,25031996,1,1,Installment payment,,,
364d,,1,0,1,,1,1,0,5,foreign-invested enterprises,0,0,1,3,1,communication technology,0,1,0,3,,1,0,0,2,Commissioned development,,24908000,24908000,1,1,Installment payment,,,
730d,,1,0,0,,0,0,0,5,foreign-invested enterprises,1,0,0,2,1,communication technology,0,1,0,3,,1,0,0,2,,,24800000,24800000,1,3,commission payment,,,
545d,,1,0,1,,1,1,0,3,foreign-invested enterprises,0,0,1,3,1,communication technology,0,0,1,1,,1,0,0,2,Commissioned development,,23851585,23851585,1,1,Installment payment,,,
609d,,1,0,0,,1,0,0,3,foreign-invested enterprises,0,0,1,1,1,Electronic information and semiconductor materials,0,1,0,3,,1,0,0,2,,,23832336,23832336,1,1,Installment payment,,,
364d,,1,0,1,,1,1,0,5,foreign-invested enterprises,0,0,1,3,1,communication technology,0,1,0,3,,1,0,0,2,Commissioned development,,23156734,23156734,1,1,Installment payment,,,
1521d,,1,0,0,,1,1,0,3,foreign-invested enterprises,0,0,1,1,1,communication technology,0,1,0,3,,1,0,0,2,,,21580000,21580000,1,1,Installment payment,,,
365d,,1,0,0,,1,0,0,5,foreign-invested enterprises,0,0,1,3,1,"Oil and gas exploration, development and utilization",0,1,0,3,,1,0,0,2,,,20750000,20750000,1,3,commission payment,,,
364d,,1,0,0,,1,1,0,3,foreign-invested enterprises,1,0,0,2,1,"Microelectronics, optoelectronics technology",0,1,0,3,,1,0,0,2,,,20249250,20249250,1,1,Installment payment,,,
303d,,1,0,0,,1,1,0,5,foreign-invested enterprises,0,0,1,3,1,communication technology,0,1,0,3,,1,0,0,2,,,19763472,19763472,1,1,Installment payment,,,
578d,,1,0,1,,1,1,0,3,foreign-invested enterprises,0,0,1,3,1,communication technology,0,0,1,1,,1,0,0,2,Commissioned development,,19621000,19621000,1,1,Installment payment,,,
365d,,1,0,0,,1,0,0,5,foreign-invested enterprises,0,0,1,3,1,communication technology,0,1,0,3,,1,0,0,2,,,19040000,11420000,1,1,Installment payment,,,
731d,,1,0,0,,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,communication technology,0,1,0,3,,1,0,0,2,,,18772900,18772900,1,3,commission payment,,,
1096d,,1,0,0,,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,communication technology,0,1,0,3,,1,0,0,2,,,18697081,18697081,1,1,Installment payment,,,
303d,,1,0,0,,1,1,0,5,foreign-invested enterprises,0,0,1,3,1,communication technology,0,1,0,3,,1,0,0,2,,,17667797,17667797,1,1,Installment payment,,,
273d,,1,0,1,,1,1,0,5,foreign-invested enterprises,0,0,1,3,1,communication technology,0,1,0,3,,1,0,0,2,Commissioned development,,16530610,16530610,1,1,Installment payment,,,
364d,,1,0,1,,1,1,0,5,foreign-invested enterprises,0,0,1,3,1,communication technology,0,1,0,3,,1,0,0,2,Commissioned development,,16143219,16143219,1,1,Installment payment,,,
364d,,1,0,0,,1,1,0,3,foreign-invested enterprises,1,0,0,2,1,"Microelectronics, optoelectronics technology",0,1,0,3,,1,0,0,2,,,15775500,15775500,1,1,Installment payment,,,
364d,,1,0,0,,1,1,0,5,foreign-invested enterprises,1,0,0,2,1,communication technology,0,1,0,3,,1,0,0,2,,,15770000,15770000,1,1,Installment payment,,,
364d,,1,0,1,,1,1,0,3,foreign-invested enterprises,1,0,0,2,1,other,0,1,0,3,,0,1,0,1,General technical services,,15600000,15600000,1,1,Installment payment,,,
364d,,1,0,0,,1,0,0,3,foreign-invested enterprises,1,0,0,2,1,Digital audio and video technology,1,0,0,2,,1,0,0,2,,,15051133,15051133,1,1,Installment payment,,,
364d,,0,1,0,,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,1,0,3,,1,0,0,2,,,14720000,14720000,1,1,Installment payment,,,
364d,,1,0,0,,1,1,1,2,foreign-invested enterprises,1,0,0,2,0,computer software,1,0,0,2,,1,0,0,2,,,14209600,14209600,1,1,Installment payment,,,
364d,,1,0,1,,1,1,0,3,foreign-invested enterprises,0,0,1,3,1,Automation machinery and equipment technology,0,1,0,3,,1,0,0,2,Commissioned development,,14042148,8877220,1,3,commission payment,,,
365d,,1,0,0,,1,1,0,3,foreign-invested enterprises,1,0,0,2,1,other,0,1,0,3,,1,0,0,2,,,13636425,13636425,1,1,Installment payment,,,
244d,,1,0,0,,1,0,0,3,foreign-invested enterprises,1,0,0,2,1,communication technology,0,1,0,3,,1,0,0,2,,,13280000,13280000,1,1,Installment payment,,,
1095d,,1,0,0,,0,0,0,5,foreign-invested enterprises,0,0,1,3,1,computer network,0,1,0,3,,1,0,0,2,,,13000000,13000000,1,1,Installment payment,,,
730d,,0,1,0,,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,communication technology,0,1,0,3,,1,0,0,2,,,12585600,12585600,1,3,commission payment,,,
365d,,1,0,0,,1,1,0,3,foreign-invested enterprises,1,0,0,2,1,other,0,1,0,3,,0,1,0,1,,,11758328,11758328,1,1,Installment payment,,,
335d,,1,0,0,,1,1,0,5,foreign-invested enterprises,0,0,1,3,1,Automation machinery and equipment technology,1,0,0,2,,1,0,0,2,,,11562410,11562410,1,1,Installment payment,,,
364d,,1,0,0,,1,1,0,3,foreign-invested enterprises,0,0,1,3,1,Automation machinery and equipment technology,0,1,0,3,,1,0,0,2,,,11562270,7304000,1,1,Installment payment,,,
548d,,1,0,1,,1,1,0,5,foreign-invested enterprises,0,0,1,3,1,communication technology,0,1,0,3,,1,0,0,2,Commissioned development,,10967400,10967400,1,1,Installment payment,,,
304d,,1,0,0,,1,1,0,3,foreign-invested enterprises,0,0,1,3,1,communication technology,0,1,0,3,,1,0,0,2,,,10719931,10719931,1,1,Installment payment,,,
3651d,,0,1,0,,0,0,1,4,Domestic-funded enterprises,0,1,0,5,1,,1,0,0,2,,0,0,1,3,,,9800000,9800000,1,1,Installment payment,,,
304d,,1,0,0,,1,1,0,5,foreign-invested enterprises,0,0,1,3,1,communication technology,0,1,0,3,,1,0,0,2,,,9797176,9797176,1,1,Installment payment,,,
699d,,1,0,1,,1,1,0,3,foreign-invested enterprises,1,0,0,2,1,computer software,0,0,1,1,,1,0,0,2,Commissioned development,,9460476,9460476,1,1,Installment payment,,,
1044d,,1,0,1,,1,1,0,3,foreign-invested enterprises,1,0,0,2,1,computer software,0,0,1,1,,1,0,0,2,Commissioned development,,9300742,9300742,1,1,Installment payment,,,
729d,,1,0,1,,1,0,0,3,foreign-invested enterprises,1,0,0,2,1,computer software,0,0,1,1,,1,0,0,2,Commissioned development,,9197768,9197768,1,1,Installment payment,,,
1095d,,1,0,1,,1,0,0,3,foreign-invested enterprises,1,0,0,2,1,computer software,0,0,1,1,,1,0,0,2,Commissioned development,,9073677,9073677,1,1,Installment payment,,,
